date,equity,ret,peak,dd,ym
2024-04-04,979383.0333115296,-0.020616966688470496,979383.0333115296,0.0,2024-04
2024-04-05,1001527.0316488914,0.022610151068767882,1001527.0316488914,0.0,2024-04
2024-04-08,995976.3717630812,-0.005542196775928987,1001527.0316488914,-0.0055421967759290425,2024-04
2024-04-09,989302.5929366866,-0.006700740113523599,1001527.0316488914,-0.012205800069199135,2024-04
2024-04-10,973553.8537039229,-0.015919031593776018,1001527.0316488914,-0.02793052714604627,2024-04
2024-04-11,984441.634968372,0.011183542875441432,1001527.0316488914,-0.017059346518476293,2024-04
2024-04-12,942808.5880388246,-0.042291026151981985,1001527.0316488914,-0.05862891540070969,2024-04
2024-04-15,933184.4377942206,-0.010207957762268127,1001527.0316488914,-0.06823839167091983,2024-04
2024-04-16,943630.0627139532,0.011193526699205404,1001527.0316488914,-0.05780869323079374,2024-04
2024-04-17,929008.7279919165,-0.015494774170276705,1001527.0316488914,-0.07240773475438045,2024-04
2024-04-18,922489.740949165,-0.007017142946377305,1001527.0316488914,-0.07891678227556298,2024-04
2024-04-19,895117.5449812432,-0.02967208712777445,1001527.0316488914,-0.10624724376381334,2024-04
2024-04-22,908689.0114722198,0.015161658451528798,1001527.0316488914,-0.09269646973364776,2024-04
2024-04-23,927300.7150793554,0.02048192877008792,1001527.0316488914,-0.07411314345388309,2024-04
2024-04-24,934177.2057916742,0.007415599492695712,1001527.0316488914,-0.06724713735018606,2024-04
2024-04-25,942728.653640198,0.009153988981433991,1001527.0316488914,-0.05870872792308868,2024-04
2024-04-26,946477.6521423226,0.003976752470234601,1001527.0316488914,-0.054965445531646506,2024-04
2024-04-29,954606.3005423665,0.008588315193332863,1001527.0316488914,-0.046849190909281524,2024-04
2024-04-30,936542.810639951,-0.01892244990647196,1001527.0316488914,-0.06488513934761386,2024-04
2024-05-01,918803.2440441303,-0.01894154372259723,1001527.0316488914,-0.08259765836631139,2024-05
2024-05-02,931205.128136201,0.01349786711405539,1001527.0316488914,-0.07021468346881665,2024-05
2024-05-03,943498.15149722,0.013201198092222088,1001527.0316488914,-0.05794040332204908,2024-05
2024-05-06,962030.6121602374,0.019642286138672804,1001527.0316488914,-0.039436199164417984,2024-05
2024-05-07,963534.6394152405,0.001563388145857325,1001527.0316488914,-0.03793446510485199,2024-05
2024-05-08,970489.3900685803,0.007217956022380845,1001527.0316488914,-0.03099031838333055,2024-05
2024-05-09,1111633.120451351,0.1454356243634941,1111633.120451351,0.0,2024-05
2024-05-10,1105826.1630522201,-0.005223807470555453,1111633.120451351,-0.005223807470555619,2024-05
2024-05-13,1111467.2142331668,0.005101209728459066,1111633.120451351,-0.00014924547958483636,2024-05
2024-05-14,1136265.940749045,0.02231170312386377,1136265.940749045,0.0,2024-05
2024-05-15,1149637.8007052995,0.011768248503021606,1149637.8007052995,0.0,2024-05
2024-05-16,1144959.7231656532,-0.004069175123483593,1149637.8007052995,-0.004069175123483482,2024-05
2024-05-17,1144703.5358575962,-0.00022375224461929077,1149637.8007052995,-0.004292016881035199,2024-05
2024-05-20,1162399.8139475551,0.01545926743093462,1162399.8139475551,0.0,2024-05
2024-05-21,1156568.9111607298,-0.005016262663552429,1162399.8139475551,-0.005016262663552373,2024-05
2024-05-22,1148334.0267138,-0.007120098394020835,1162399.8139475551,-0.012100644773838432,2024-05
2024-05-23,1122806.0176216054,-0.022230473449653287,1162399.8139475551,-0.03406211516112312,2024-05
2024-05-24,1149868.4982368774,0.024102543262635168,1162399.8139475551,-0.01078055550277568,2024-05
2024-05-28,1162665.8194270085,0.011129378019967995,1162665.8194270085,0.0,2024-05
2024-05-29,1140780.9715529752,-0.01882299067226273,1162665.8194270085,-0.018822990672262674,2024-05
2024-05-30,1166036.8126287186,0.022139079898362946,1166036.8126287186,0.0,2024-05
2024-05-31,1154842.6311413792,-0.009600195607978312,1166036.8126287186,-0.009600195607978312,2024-05
2024-06-03,1151083.7571576093,-0.0032548798272668544,1166036.8126287186,-0.012823827952223033,2024-06
2024-06-04,1123977.8883518944,-0.02354812900205274,1166036.8126287186,-0.036069979799356666,2024-06
2024-06-05,1171862.2433160604,0.04260257738199783,1171862.2433160604,0.0,2024-06
2024-06-06,1155763.5273982498,-0.013737720461285238,1171862.2433160604,-0.013737720461285186,2024-06
2024-06-07,1143426.2449135154,-0.010674573294856415,1171862.2433160604,-0.024265649452173355,2024-06
2024-06-10,1158544.9544907957,0.013222286653411462,1171862.2433160604,-0.011364210171649791,2024-06
2024-06-11,1162959.9964884499,0.0038108508267550474,1171862.2433160604,-0.007596666654622775,2024-06
2024-06-12,1197161.011134116,0.029408590793265407,1197161.011134116,0.0,2024-06
2024-06-13,1220629.248580896,0.019603242361315935,1220629.248580896,0.0,2024-06
2024-06-14,1211954.0326359903,-0.007107167024705931,1220629.248580896,-0.007107167024705929,2024-06
2024-06-17,1240214.7857306176,0.023318337439878246,1240214.7857306176,0.0,2024-06
2024-06-18,1250061.7166063054,0.007939698017619684,1250061.7166063054,0.0,2024-06
2024-06-20,1219249.6205514178,-0.02464845986847521,1250061.7166063054,-0.02464845986847508,2024-06
2024-06-21,1215483.052351758,-0.0030892510739158976,1250061.7166063054,-0.02766156566127187,2024-06
2024-06-24,1180687.3768936242,-0.02862703465162253,1250061.7166063054,-0.055496731714191005,2024-06
2024-06-25,1198401.8390107402,0.01500351614135361,1250061.7166063054,-0.04132586168290364,2024-06
2024-06-26,1191489.925484266,-0.005767609245476445,1250061.7166063054,-0.046855119506460485,2024-06
2024-06-27,1205757.1870148845,0.011974303118693906,1250061.7166063054,-0.035441873791399514,2024-06
2024-06-28,1210347.2991334016,0.0038068295739384075,1250061.7166063054,-0.03176996539076604,2024-06
2024-07-01,1213192.8390651434,0.002351011097210886,1250061.7166063054,-0.029493645834746895,2024-07
2024-07-02,1218202.4076541336,0.0041292434538689774,1250061.7166063054,-0.025486188824871858,2024-07
2024-07-03,1226476.8633353843,0.006792348815977661,1250061.7166063054,-0.018866951093382656,2024-07
2024-07-05,1228724.5539742305,0.0018326400652463903,1250061.7166063054,-0.017068887358619,2024-07
2024-07-08,1269197.1527744324,0.032938707596666644,1269197.1527744324,0.0,2024-07
2024-07-09,1269011.4052008053,-0.00014635044935386668,1269197.1527744324,-0.00014635044935384922,2024-07
2024-07-10,1284728.6117823476,0.012385394266062768,1284728.6117823476,0.0,2024-07
2024-07-11,1273466.1824415324,-0.008766387887314517,1284728.6117823476,-0.008766387887314542,2024-07
2024-07-12,1283158.6389298097,0.007611082745593344,1284728.6117823476,-0.0012220268453115857,2024-07
2024-07-15,1289264.0128058137,0.004758081885413568,1289264.0128058137,0.0,2024-07
2024-07-16,1307594.960999465,0.014218149278640006,1307594.960999465,0.0,2024-07
2024-07-17,1239446.5516604602,-0.052117369194292,1307594.960999465,-0.052117369194291996,2024-07
2024-07-18,1220064.9768791737,-0.01563728162002737,1307594.960999465,-0.06693967683493329,2024-07
2024-07-19,1203786.2008211454,-0.013342548443336199,1307594.960999465,-0.0793890793973181,2024-07
2024-07-22,1229681.1853547404,0.0215112820830901,1307594.960999465,-0.05958555819546063,2024-07
2024-07-23,1227401.4540949105,-0.0018539205828152967,1307594.960999465,-0.061329011885498774,2024-07
2024-07-24,1169628.4196674866,-0.04706938730981541,1307594.960999465,-0.10551168018154744,2024-07
2024-07-25,1137059.282809452,-0.02784571263007936,1307594.960999465,-0.13041934488617457,2024-07
2024-07-26,1161536.8462217664,0.02152707759602066,1307594.960999465,-0.11169981464754086,2024-07
2024-07-29,1146293.1341127718,-0.013123743907547208,1307594.960999465,-0.12335763879313333,2024-07
2024-07-30,1102396.8596091599,-0.03829410924421843,1307594.960999465,-0.15692787714129863,2024-07
2024-07-31,1167687.3377060445,0.05922592896357907,1307594.960999465,-0.10699614748169539,2024-07
2024-08-01,1114431.9633713257,-0.045607563441888994,1307594.960999465,-0.14772387733927517,2024-08
2024-08-02,1051097.8508026574,-0.056830847149316376,1307594.960999465,-0.19615945139521884,2024-08
2024-08-05,1014482.3445610213,-0.03483548768906264,1307594.960999465,-0.22416162893011005,2024-08
2024-08-06,1034407.0143209845,0.019640233136422637,1307594.960999465,-0.208923982446115,2024-08
2024-08-07,1027449.4013010524,-0.006726185073773168,1307594.960999465,-0.21424490614760583,2024-08
2024-08-08,1068672.140689371,0.040121430151322704,1307594.960999465,-0.18271928803356097,2024-08
2024-08-09,1043502.6617272752,-0.023552105462260386,1307594.960999465,-0.20196796955406582,2024-08
2024-08-12,1060509.048263539,0.016297405996179938,1307594.960999465,-0.18896211755593262,2024-08
2024-08-13,1078403.6085877847,0.016873557423716434,1307594.960999465,-0.17527702327370331,2024-08
2024-08-14,1085417.6691063754,0.006504114473222003,1307594.960999465,-0.16991293062437896,2024-08
2024-08-15,1137374.225645953,0.047867800588093846,1307594.960999465,-0.1301784883167515,2024-08
2024-08-16,1134185.1522510543,-0.002803891035149479,1307594.960999465,-0.13261737305554033,2024-08
2024-08-19,1131109.7297123608,-0.0027115700929339157,1307594.960999465,-0.13496934184589326,2024-08
2024-08-20,1136837.1304746855,0.005063523557330788,1307594.960999465,-0.13058923873051653,2024-08
2024-08-21,1166991.9472474013,0.02652518638278889,1307594.960999465,-0.10752795624464118,2024-08
2024-08-22,1149385.4999395797,-0.015087034104519873,1307594.960999465,-0.12099271240610876,2024-08
2024-08-23,1182222.634415127,0.028569295921406404,1307594.960999465,-0.0958800930897662,2024-08
2024-08-26,1194590.347712417,0.010461407976179116,1307594.960999465,-0.08642172588419328,2024-08
2024-08-27,1198101.0049057936,0.002938795881031038,1307594.960999465,-0.0837369058152223,2024-08
2024-08-28,1194209.6363050335,-0.0032479470301972624,1307594.960999465,-0.08671287981085907,2024-08
2024-08-29,1191912.0642602374,-0.00192392690106317,1307594.960999465,-0.08846997746978547,2024-08
2024-08-30,1202622.1793101144,0.008985658733577854,1307594.960999465,-0.08027927976191829,2024-08
2024-09-03,1150183.9711079965,-0.04360322726810095,1307594.960999465,-0.12038207134964096,2024-09
2024-09-04,1163439.7298805895,0.011524903063832128,1307594.960999465,-0.11024455998873683,2024-09
2024-09-05,1145415.8190055403,-0.015491916265313602,1307594.960999465,-0.12402857676199863,2024-09
2024-09-06,1094402.792788308,-0.0445366873503827,1307594.960999465,-0.1630414421666192,2024-09
2024-09-09,1118803.2341749272,0.022295668055133392,1307594.960999465,-0.14438089198526294,2024-09
2024-09-10,1121536.4046269606,0.0024429411433094204,1307594.960999465,-0.14229066486329212,2024-09
2024-09-11,1163314.71459843,0.03725096198314261,1307594.960999465,-0.11034016702752802,2024-09
2024-09-12,1185068.0700881006,0.01869945872487287,1307594.960999465,-0.09370400970168202,2024-09
2024-09-13,1204060.642075572,0.01602656629341067,1307594.960999465,-0.07917919693171371,2024-09
2024-09-16,1194877.7475322522,-0.007626604692841768,1307594.960999465,-0.08620193318966074,2024-09
2024-09-17,1213087.1938555157,0.01523958945663768,1307594.960999465,-0.07227602580520198,2024-09
2024-09-18,1211585.022407511,-0.0012383045964160513,1307594.960999465,-0.07342483066665273,2024-09
2024-09-19,1262279.7252795282,0.041841638790881555,1307594.960999465,-0.03465540711880688,2024-09
2024-09-20,1256299.2194657354,-0.004737860946366935,1307594.960999465,-0.039229075565205274,2024-09
2024-09-23,1265832.3145601633,0.007588236103881556,1307594.960999465,-0.03193851894884969,2024-09
