date,equity,ret,peak,dd,ym
2024-04-04,977844.7998278099,-0.022155200172190036,977844.7998278099,0.0,2024-04
2024-04-05,1002587.2442671454,0.025303038318240746,1002587.2442671454,0.0,2024-04
2024-04-08,997199.719528505,-0.005373621866273126,1002587.2442671454,-0.005373621866273104,2024-04
2024-04-09,981863.5965843772,-0.015379188986714688,1002587.2442671454,-0.02067016890676321,2024-04
2024-04-10,966248.5528979548,-0.015903475534425327,1002587.2442671454,-0.03624491691568732,2024-04
2024-04-11,977959.2288450621,0.01211973452584725,1002587.2442671454,-0.0245644611607696,2024-04
2024-04-12,932435.4210167499,-0.04654980134711166,1002587.2442671454,-0.06997079172064857,2024-04
2024-04-15,921974.9836982796,-0.011218404066057477,1002587.2442671454,-0.08040423517236195,2024-04
2024-04-16,935582.3812170803,0.014758966088448466,1002587.2442671454,-0.06683195246419005,2024-04
2024-04-17,918694.0087401846,-0.01805118695686201,1002587.2442671454,-0.0836767433524288,2024-04
2024-04-18,909727.786778828,-0.009759747942246834,1002587.2442671454,-0.092619827370928,2024-04
2024-04-19,876541.3487897664,-0.036479525492530376,1002587.2442671454,-0.12572062550976693,2024-04
2024-04-22,893142.193504441,0.018939032069160523,1002587.2442671454,-0.10916262039889091,2024-04
2024-04-23,914426.2067408974,0.02383048678166686,1002587.2442671454,-0.087933531999692,2024-04
2024-04-24,922449.88638612,0.0087745512826231,1002587.2442671454,-0.07993055800306226,2024-04
2024-04-25,933536.7664280095,0.012018951062289564,1002587.2442671454,-0.06887228840579285,2024-04
2024-04-26,938923.2811542865,0.0057700081239300495,1002587.2442671454,-0.06349967394547795,2024-04
2024-04-29,948913.6942412052,0.010640286898240214,1002587.2442671454,-0.053535041795962135,2024-04
2024-04-30,930544.3642926246,-0.01935827258059499,1002587.2442671454,-0.07185696844485734,2024-04
2024-05-01,909947.8393999519,-0.022133845180320535,1002587.2442671454,-0.09240034261049224,2024-05
2024-05-02,924880.9367334319,0.016410937733889776,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-03,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-06,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-07,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-08,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-09,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-10,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-13,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-14,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-15,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-16,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-17,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-20,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-21,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-22,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-23,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-24,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-28,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-29,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-30,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-05-31,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-05
2024-06-03,924880.9367334319,0.0,1002587.2442671454,-0.07750578114577344,2024-06
2024-06-04,897874.2375573537,-0.02920019010388801,1002587.2442671454,-0.10444278770605453,2024-06
2024-06-05,937082.1122007907,0.04366744584419874,1002587.2442671454,-0.06533609163782705,2024-06
2024-06-06,924581.1739781781,-0.013340280493940301,1002587.2442671454,-0.07780477034294098,2024-06
2024-06-07,916524.3379243118,-0.008714038616209646,1002587.2442671454,-0.08584081518585696,2024-06
2024-06-10,932707.9214227874,0.0176575600110382,1002587.2442671454,-0.06969899452035944,2024-06
2024-06-11,935743.0249184427,0.003254077108110695,1002587.2442671454,-0.06667172331477589,2024-06
2024-06-12,962241.3953859751,0.02831799945272573,1002587.2442671454,-0.04024173368639017,2024-06
2024-06-13,981128.4943964294,0.019628233727024547,1002587.2442671454,-0.021403374113742712,2024-06
2024-06-14,969348.612497391,-0.012006461912295402,1002587.2442671454,-0.033152857229946764,2024-06
2024-06-17,993580.0706755482,0.02499767149377577,1002587.2442671454,-0.008983929970285187,2024-06
2024-06-18,1002534.3263876186,0.009012112839564379,1002587.2442671454,-5.278132135577707e-05,2024-06
2024-06-20,981043.1249629286,-0.02143687339078776,1002587.2442671454,-0.0214885232456401,2024-06
2024-06-21,979532.8810583912,-0.0015394266226516906,1002587.2442671454,-0.022994869863526057,2024-06
2024-06-24,961015.8589641516,-0.01890393110053834,1002587.2442671454,-0.041464107528498384,2024-06
2024-06-25,982473.6328763342,0.022328220405552143,1002587.2442671454,-0.02006170685476205,2024-06
2024-06-26,974588.7718929447,-0.008025519178876478,1002587.2442671454,-0.027926220420514736,2024-06
2024-06-27,990695.9877314478,0.016527192086584264,1002587.2442671454,-0.011860570343072419,2024-06
2024-06-28,997859.5475334515,0.007230835584998416,1002587.2442671454,-0.004715496592169077,2024-06
2024-07-01,996826.7376584959,-0.0010350252974063306,1002587.2442671454,-0.005745641231312715,2024-07
2024-07-02,1004683.4364972975,0.007881709570969897,1004683.4364972975,0.0,2024-07
2024-07-03,1006490.1619280407,0.0017983031919408393,1006490.1619280407,0.0,2024-07
2024-07-05,1014966.5632663106,0.008421742863370371,1014966.5632663106,0.0,2024-07
2024-07-08,1040888.1692427564,0.025539369388708072,1040888.1692427564,0.0,2024-07
2024-07-09,1038344.514928478,-0.0024437344850685577,1040888.1692427564,-0.002443734485068516,2024-07
2024-07-10,1048861.8196978087,0.010128916383841072,1048861.8196978087,0.0,2024-07
2024-07-11,1047285.4313512564,-0.0015029514059405613,1048861.8196978087,-0.001502951405940589,2024-07
2024-07-12,1055423.7323487676,0.00777085286769498,1055423.7323487676,0.0,2024-07
2024-07-15,1061262.5461979604,0.005532198746563147,1061262.5461979604,0.0,2024-07
2024-07-16,1079287.9855082182,0.016984901026456667,1079287.9855082182,0.0,2024-07
2024-07-17,1022336.1851302609,-0.05276793695719649,1079287.9855082182,-0.052767936957196504,2024-07
2024-07-18,1000460.632487852,-0.021397611627746144,1079287.9855082182,-0.0730364407635351,2024-07
2024-07-19,984801.6681982927,-0.01565175458290642,1079287.9855082182,-0.08754504690000187,2024-07
2024-07-22,1012141.3996657813,0.027761662424381328,1079287.9855082182,-0.06221378051458504,2024-07
2024-07-23,1012417.7793514391,0.0002730643028228813,1079287.9855082182,-0.06195770457436445,2024-07
2024-07-24,961035.8784548535,-0.05075167776044115,1079287.9855082182,-0.10956492487747072,2024-07
2024-07-25,930409.7585488431,-0.03186782157940962,1079287.9855082182,-0.13794115097952364,2024-07
2024-07-26,952261.554638039,0.023486206897999434,1079287.9855082182,-0.1176946584931775,2024-07
2024-07-29,942906.0590952605,-0.00982450199444894,1079287.9855082182,-0.1263628690805243,2024-07
2024-07-30,900437.7753308413,-0.04503978244149627,1079287.9855082182,-0.16571129538995044,2024-07
2024-07-31,964664.976699369,0.0713288615028721,1079287.9855082182,-0.10620243192540968,2024-07
2024-08-01,913058.9357245942,-0.05349633522650166,1079287.9855082182,-0.1540173262517599,2024-08
2024-08-02,856276.5137726379,-0.06218921882287287,1079287.9855082182,-0.2066283278698483,2024-08
2024-08-05,822393.9252289124,-0.039569681053662764,1079287.9855082182,-0.2380217918930495,2024-08
2024-08-06,837046.1409959357,0.017816541826892407,1079287.9855082182,-0.2244459752771314,2024-08
2024-08-07,830281.7507370006,-0.008081263299161257,1079287.9855082182,-0.2307134315536412,2024-08
2024-08-08,856814.5115657122,0.03195633386517238,1079287.9855082182,-0.20612985313437648,2024-08
2024-08-09,857067.4836774952,0.00029524723072299475,1079287.9855082182,-0.20589546517196078,2024-08
2024-08-12,863930.6820495374,0.008007768936226456,1079287.9855082182,-0.1995364595458483,2024-08
2024-08-13,879495.1686961591,0.01801589753670685,1079287.9855082182,-0.1851153904191568,2024-08
2024-08-14,880602.8333279403,0.001259432309813846,1079287.9855082182,-0.18408909841308063,2024-08
2024-08-15,925721.5213600034,0.05123613770529478,1079287.9855082182,-0.14228497510412197,2024-08
2024-08-16,920685.2502638655,-0.0054403737840500455,1079287.9855082182,-0.14695126543975134,2024-08
2024-08-19,926578.2158987361,0.006400630001601404,1079287.9855082182,-0.14149121611649706,2024-08
2024-08-20,933615.8418346053,0.0075952853359961825,1079287.9855082182,-0.1349705969394428,2024-08
2024-08-21,950798.2213767411,0.018404121665685946,1079287.9855082182,-0.11905049056112071,2024-08
2024-08-22,937309.6063285054,-0.01418662208760163,1079287.9855082182,-0.1315481883297881,2024-08
2024-08-23,964251.1493916494,0.02874348334983523,1079287.9855082182,-0.10658585814091115,2024-08
2024-08-26,969601.6917162782,0.00554890945995179,1079287.9855082182,-0.10162838395749452,2024-08
2024-08-27,975009.9469001475,0.005577811208534733,1079287.9855082182,-0.09661743668810319,2024-08
2024-08-28,972545.8463595139,-0.0025272568228332237,1079287.9855082182,-0.09890051643486164,2024-08
2024-08-29,965157.1129166523,-0.0075973111915695335,1079287.9855082182,-0.1057464496260686,2024-08
2024-08-30,975913.5649810241,0.01114476795582664,1079287.9855082182,-0.09578020131347686,2024-08
2024-09-03,942687.6538587708,-0.03404595684956929,1079287.9855082182,-0.1265652295620845,2024-09
2024-09-04,958240.4050856533,0.016498307963639075,1079287.9855082182,-0.11215503373324931,2024-09
2024-09-05,940246.3440007723,-0.018778232465862854,1079287.9855082182,-0.12882719290345246,2024-09
2024-09-06,904704.5010367852,-0.03780056491658944,1079287.9855082182,-0.16175801715167304,2024-09
2024-09-09,924271.0503687616,0.021627558290638962,1079287.9855082182,-0.1436288898059601,2024-09
2024-09-10,929910.9749982324,0.006102024538386985,1079287.9855082182,-0.1384032922775904,2024-09
2024-09-11,961932.0437097142,0.03443455295442943,1079287.9855082182,-0.10873459482016112,2024-09
2024-09-12,984641.790077584,0.023608472673692205,1079287.9855082182,-0.08769317985696556,2024-09
2024-09-13,1002946.5761722466,0.01859029982184726,1079287.9855082182,-0.07073312254099051,2024-09
2024-09-16,995455.5747746221,-0.00746899343952484,1079287.9855082182,-0.07767381075229962,2024-09
2024-09-17,1007528.5165707167,0.012128056843549409,1079287.9855082182,-0.06648778630080932,2024-09
2024-09-18,1006670.332834688,-0.0008517711627156893,1079287.9855082182,-0.0672829250844813,2024-09
2024-09-19,1048247.6984903099,0.04130186844638992,1079287.9855082182,-0.028759967158618838,2024-09
2024-09-20,1045532.2599218433,-0.002590455073144843,1079287.9855082182,-0.031275920828934156,2024-09
2024-09-23,1055468.7592747896,0.009503771173630868,1079287.9855082182,-0.02206938885010612,2024-09
2024-09-24,1077706.7474597825,0.021069300241792696,1079287.9855082182,-0.0014650751881492008,2024-09
