theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
hvac,空調,59,資本財,318470798053425744,3,20260410,2026-04-10T09:51:18.174664
semi-fab-infra,半導体工場インフラ,60,テクノロジー,-3872192318997984886,5,20260410,2026-04-10T09:51:18.174664
activewear,アクティブウェア,61,消費者一般,-6841958228105755540,6,20260410,2026-04-10T09:51:18.174664
housing-equipment-trading,住設専門商社,62,消費者一般,-4050858988798981918,5,20260410,2026-04-10T09:51:18.174664
homebuilders,ホームビルダー,63,消費者一般,-1063364475170150619,8,20260410,2026-04-10T09:51:18.174664
steel,鉄,64,素材,3272582145283367538,5,20260410,2026-04-10T09:51:18.174664
hotels-resorts,ホテル・リゾート,65,消費者一般,4969443824105511663,5,20260410,2026-04-10T09:51:18.174664
industrial-distribution,産業資材流通,66,資本財,3855681882562818510,4,20260410,2026-04-10T09:51:18.174664
ai-semiconductor-core,AI半導体：コア銘柄,67,テクノロジー,-5159689219794520651,5,20260410,2026-04-10T09:51:18.174664
defence-parts,防衛：素材・部材,68,資本財,-1677779455174894761,4,20260410,2026-04-10T09:51:18.174664
crypto,暗号資産・ブロックチェン,69,金融,-5270268724012492790,8,20260410,2026-04-10T09:51:18.174664
diversified-industrials,機械：多角化,70,資本財,-6409280299103266230,7,20260410,2026-04-10T09:51:18.174664
dc-rack-connect,ラック内接続,71,テクノロジー,3455339207404037534,3,20260410,2026-04-10T09:51:18.174664
capital-equipment-leasing,資本財リース,72,資本財,-4396068898392093698,5,20260410,2026-04-10T09:51:18.174664
solar-energy-storage,太陽光発電,73,テクノロジー,-4320665888119161138,5,20260410,2026-04-10T09:51:18.174664
trucking-intermodal,トラック輸送,74,資本財,2812301520368563659,3,20260410,2026-04-10T09:51:18.174664
pub-construction-electric,インフラ工事：電力/通信,75,資本財,-2201659459543662597,4,20260410,2026-04-10T09:51:18.174664
analog-semi-sensor,アナログ半導体：センサ,76,テクノロジー,-7709368601169861935,4,20260410,2026-04-10T09:51:18.174664
corrugated-paper-packaging,製紙・段ボール,77,素材,-236884541191941887,5,20260410,2026-04-10T09:51:18.174664
outdoor-products,アウトドア製品,78,消費者一般,-3703695208779018872,3,20260410,2026-04-10T09:51:18.174664
bnpl,BNPL,79,金融,-3721294780561062561,3,20260410,2026-04-10T09:51:18.174664
uranium,ウラン,80,エネルギー,2083773677822192200,11,20260410,2026-04-10T09:51:18.174664
ota,オンライン旅行予約,81,消費者一般,5690622664967505499,4,20260410,2026-04-10T09:51:18.174664
diversified-resources,多角化資源,82,素材,6334659028616862227,3,20260410,2026-04-10T09:51:18.174664
rail-manufacturing,鉄道製造・リース,83,資本財,-6640269756187491930,7,20260410,2026-04-10T09:51:18.174664
megabanks,メガバンク,84,金融,440387004562620025,4,20260410,2026-04-10T09:51:18.174664
logistics-air-freight,物流サービス,85,資本財,-4416237683048331472,5,20260410,2026-04-10T09:51:18.174664
fast-casual,高品質ファーストフード,86,消費者一般,6273558255977453157,2,20260410,2026-04-10T09:51:18.174664
drones,軍用ドローン,87,資本財,-6659681087267581919,7,20260410,2026-04-10T09:51:18.174664
quantum-computing,量子コンピュータ,88,テクノロジー,4655211576553851033,4,20260410,2026-04-10T09:51:18.174664
facility-equipment,施設設備,89,資本財,-7445752183359472440,6,20260410,2026-04-10T09:51:18.174664
smart-glass,スマートグラス,90,テクノロジー,3012966070756098826,6,20260410,2026-04-10T09:51:18.174664
lithium,リチウム,91,素材,7200423067711341522,10,20260410,2026-04-10T09:51:18.174664
lifescience-diagnose,生命科学：精密分析,92,ヘルスケア,-1464336426803832005,7,20260410,2026-04-10T09:51:18.174664
dining,カジュアルダイニング,93,消費者一般,-533416664092460335,2,20260410,2026-04-10T09:51:18.174664
