Norgate Coverage Report
Generated: 2026-04-10T10:35:21.055704
Start date: 2020-01-01
======================================================================

SUMMARY
  Target tickers:    847
  Retrieved:         846 (100%)
  Failed:            1
  Panel rows:        1,444,411
  Date range:        2020-01-02 ~ 2026-04-09
  Trading days:      1575

THEME COVERAGE
Theme                                    Total Avail     %                        Missing
refrigerant                                  2     2  100%                               
regional-bank                               12    12  100%                               
reit                                        10    10  100%                               
rideshare                                    2     2  100%                               
robotics-industrial                          3     3  100%                               
robotics-logistics                           6     6  100%                               
satellite-communications                     5     5  100%                               
semi-component                               4     4  100%                               
semi-consumables                             6     6  100%                               
semi-equip-back                              5     5  100%                               
semi-equip-front                             5     5  100%                               
semi-fab-infra                               5     5  100%                               
semi-iot-ai                                  6     6  100%                               
semiconductor-design                         2     2  100%                               
server-brand                                 3     3  100%                               
silver-mining                                5     5  100%                               
smart-glass                                  6     6  100%                               
soft-back-office                             3     3  100%                               
soft-comm                                    3     3  100%                               
soft-enterprise                              4     4  100%                               
soft-marketing                               6     6  100%                               
soft-productivity                            4     4  100%                               
soft-vertical                                9     9  100%                               
solar-energy-storage                         5     5  100%                               
space-infrastructure                         4     4  100%                               
steel                                        5     5  100%                               
storage-solutions                            2     2  100%                               
thermal-coal                                 2     2  100%                               
tobacco                                      3     3  100%                               
toys                                         2     2  100%                               
trucking-intermodal                          3     3  100%                               
uranium                                     11    11  100%                               
used-car-sales                               4     4  100%                               
video-streaming                              3     3  100%                               
water-utilities                              3     3  100%                               


LOW COVERAGE THEMES (<75%): 0


FAILED TICKERS: 1
  TMRC: 
