date,action,ticker,current_weight,target_weight,delta_weight,reason,min_hold_blocked,sector,theme
2026-04-16,BUY,MRVL,0,0.07,0.07,new_entry,False,Technology,
2026-04-16,BUY,AMD,0,0.07,0.07,new_entry,False,Technology,
2026-04-16,BUY,GEV,0,0.08,0.08,new_entry,False,Industrials,
2026-04-16,HOLD,HUBB,0.0385,0.08,0,continuing,False,Industrials,
2026-04-16,BUY,TXN,0,0.07,0.07,new_entry,False,Technology,
2026-04-16,BUY,ADI,0,0.07,0.07,new_entry,False,Technology,
2026-04-16,BUY,CLS,0,0.07,0.07,new_entry,False,Technology,
2026-04-16,HOLD,VALE,0.08,0.08,0,continuing,False,Basic Materials,
2026-04-16,HOLD,BHP,0.08,0.08,0,continuing,False,Basic Materials,
2026-04-16,HOLD,RIO,0.075,0,0,min_hold_active(4d/20d),True,Basic Materials,
2026-04-16,HOLD,APD,0.03,0,0,min_hold_active(4d/20d),True,Basic Materials,
2026-04-16,HOLD,LIN,0.03,0,0,min_hold_active(4d/20d),True,Basic Materials,
2026-04-16,HOLD,MTZ,0.08,0,0,min_hold_active(4d/20d),True,Industrials,
2026-04-16,HOLD,DY,0.08,0,0,min_hold_active(4d/20d),True,Industrials,
2026-04-16,HOLD,SBS,0.03,0,0,min_hold_active(4d/20d),True,Utilities,
2026-04-16,HOLD,AWK,0.05,0,0,min_hold_active(4d/20d),True,Utilities,
2026-04-16,HOLD,WCC,0.03,0,0,min_hold_active(4d/20d),True,Industrials,
2026-04-16,HOLD,FAST,0.05,0,0,min_hold_active(4d/20d),True,Industrials,
2026-04-16,HOLD,ETN,0.0385,0,0,min_hold_active(4d/20d),True,Industrials,
2026-04-16,HOLD,ODFL,0.08,0,0,min_hold_active(3d/20d),True,Industrials,
2026-04-16,HOLD,XPO,0.08,0,0,min_hold_active(3d/20d),True,Industrials,
2026-04-16,HOLD,WTRG,0.03,0,0,min_hold_active(3d/20d),True,Utilities,
2026-04-16,HOLD,GWW,0.03,0,0,min_hold_active(3d/20d),True,Industrials,
2026-04-16,HOLD,SLB,0.08,0,0,min_hold_active(2d/20d),True,Energy,
2026-04-16,HOLD,BKR,0.0385,0,0,min_hold_active(2d/20d),True,Energy,
2026-04-16,HOLD,FTI,0.0417,0,0,min_hold_active(2d/20d),True,Energy,
2026-04-16,HOLD,TS,0.0417,0,0,min_hold_active(2d/20d),True,Energy,
2026-04-16,HOLD,FTAI,0.0385,0,0,min_hold_active(2d/20d),True,Industrials,
2026-04-16,HOLD,AER,0.0385,0,0,min_hold_active(2d/20d),True,Industrials,
2026-04-16,HOLD,FIX,0.0385,0,0,min_hold_active(2d/20d),True,Industrials,
2026-04-16,HOLD,HAL,0.08,0,0,min_hold_active(1d/20d),True,Energy,
