date,action,ticker,current_weight,target_weight,delta_weight,reason,min_hold_blocked,sector,theme
2026-04-09,BUY,MTZ,0,0.05,0.05,new_entry,False,Industrials,
2026-04-09,BUY,DY,0,0.05,0.05,new_entry,False,Industrials,
2026-04-09,BUY,SBS,0,0.05,0.05,new_entry,False,Utilities,
2026-04-09,BUY,AWK,0,0.05,0.05,new_entry,False,Utilities,
2026-04-09,HOLD,APD,0.075,0.05,0,continuing,False,Basic Materials,
2026-04-09,HOLD,LIN,0.075,0.05,0,continuing,False,Basic Materials,
2026-04-09,BUY,WCC,0,0.05,0.05,new_entry,False,Industrials,
2026-04-09,BUY,FAST,0,0.05,0.05,new_entry,False,Industrials,
2026-04-09,BUY,HUBB,0,0.05,0.05,new_entry,False,Industrials,
2026-04-09,BUY,ETN,0,0.05,0.05,new_entry,False,Industrials,
2026-04-09,HOLD,VALE,0.075,0,0,min_hold_active(0d/20d),True,Basic Materials,
2026-04-09,HOLD,RIO,0.075,0,0,min_hold_active(0d/20d),True,Basic Materials,
