date,equity,month_ret,peak,dd
2002-09-30,895148.7,-0.104851305,895148.7,0.0
2002-10-31,968805.0,0.082283854,968805.0,0.0
2002-11-29,1028561.9,0.061681032,1028561.9,0.0
2002-12-31,970374.75,-0.056571364,1028561.9,-0.056571364
2003-01-31,946508.5,-0.024594903,1028561.9,-0.07977486
2003-02-28,933750.6,-0.013478875,1028561.9,-0.092178464
2003-03-31,935752.7,0.0021440983,1028561.9,-0.090232015
2003-04-30,1014928.4,0.08461177,1028561.9,-0.0132549405
2003-05-30,1070583.1,0.054836154,1070583.1,0.0
2003-06-30,1081989.2,0.010654092,1081989.2,0.0
2003-07-31,1101494.5,0.018027186,1101494.5,0.0
2003-08-29,1124213.8,0.02062583,1124213.8,0.0
2003-09-30,1111953.5,-0.010905623,1124213.8,-0.010905623
2003-10-31,1171472.9,0.05352688,1171472.9,0.0
2003-11-28,1184266.6,0.010921121,1184266.6,0.0
2003-12-31,1243846.0,0.050309062,1243846.0,0.0
2004-01-30,1268436.8,0.019769907,1268436.8,0.0
2004-02-27,1285650.2,0.013570666,1285650.2,0.0
2004-03-31,1268618.2,-0.013247788,1285650.2,-0.013247788
2004-04-30,1244614.4,-0.018921256,1285650.2,-0.031918406
2004-05-28,1265926.1,0.017123222,1285650.2,-0.015341759
2004-06-30,1289344.9,0.018499255,1289344.9,0.0
2004-07-30,1247804.0,-0.032218635,1289344.9,-0.032218575
2004-08-31,1250843.5,0.0024359226,1289344.9,-0.029861212
2004-09-30,1263395.8,0.010035038,1289344.9,-0.020125806
2004-10-29,1279674.2,0.012884736,1289344.9,-0.00750041
2004-11-30,1336642.4,0.044517636,1336642.4,0.0
2004-12-31,1376902.2,0.030120134,1376902.2,0.0
2005-01-31,1346031.0,-0.022420824,1376902.2,-0.022420824
2005-02-28,1374168.2,0.020903826,1376902.2,-0.0019856095
2005-03-31,1349031.9,-0.01829207,1376902.2,-0.02024138
2005-04-29,1323757.5,-0.01873517,1376902.2,-0.038597345
2005-05-31,1366415.1,0.032224655,1376902.2,-0.0076164603
2005-06-30,1368481.0,0.0015119314,1376902.2,-0.006116092
2005-07-29,1420840.9,0.038261294,1420840.9,0.0
2005-08-31,1407521.4,-0.00937438,1420840.9,-0.00937438
2005-09-30,1418813.6,0.008022785,1420840.9,-0.001426816
2005-10-31,1385257.4,-0.023650944,1420840.9,-0.025043964
