theme,ticker,snapshot_date,retrieved_at
auto-parts,BWA,20260416,2026-04-16T22:32:57.080623
auto-parts,GNTX,20260416,2026-04-16T22:32:57.080623
auto-parts,LEA,20260416,2026-04-16T22:32:57.080623
auto-parts,MGA,20260416,2026-04-16T22:32:57.080623
autonomous,AMBA,20260416,2026-04-16T22:32:57.080623
autonomous,AUR,20260416,2026-04-16T22:32:57.080623
autonomous,MBLY,20260416,2026-04-16T22:32:57.080623
autonomous,QCOM,20260416,2026-04-16T22:32:57.080623
autonomous,TSLA,20260416,2026-04-16T22:32:57.080623
battery-storage,EOSE,20260416,2026-04-16T22:32:57.080623
battery-storage,FLNC,20260416,2026-04-16T22:32:57.080623
battery-storage,GWH,20260416,2026-04-16T22:32:57.080623
battery-storage,STEM,20260416,2026-04-16T22:32:57.080623
beverages-diversified,CELH,20260416,2026-04-16T22:32:57.080623
beverages-diversified,KDP,20260416,2026-04-16T22:32:57.080623
beverages-diversified,KO,20260416,2026-04-16T22:32:57.080623
beverages-diversified,MNST,20260416,2026-04-16T22:32:57.080623
beverages-diversified,PEP,20260416,2026-04-16T22:32:57.080623
biotech-diversified,ABBV,20260416,2026-04-16T22:32:57.080623
biotech-diversified,AMGN,20260416,2026-04-16T22:32:57.080623
biotech-diversified,BIIB,20260416,2026-04-16T22:32:57.080623
biotech-diversified,GILD,20260416,2026-04-16T22:32:57.080623
biotech-diversified,REGN,20260416,2026-04-16T22:32:57.080623
biotech-genomics,ALNY,20260416,2026-04-16T22:32:57.080623
biotech-genomics,CRSP,20260416,2026-04-16T22:32:57.080623
biotech-genomics,INCY,20260416,2026-04-16T22:32:57.080623
biotech-genomics,MRNA,20260416,2026-04-16T22:32:57.080623
biotech-genomics,NTRA,20260416,2026-04-16T22:32:57.080623
biotech-genomics,VKTX,20260416,2026-04-16T22:32:57.080623
biotech-specialized,ARGX,20260416,2026-04-16T22:32:57.080623
biotech-specialized,INSM,20260416,2026-04-16T22:32:57.080623
biotech-specialized,VRTX,20260416,2026-04-16T22:32:57.080623
bnpl,AFRM,20260416,2026-04-16T22:32:57.080623
bnpl,KLAR,20260416,2026-04-16T22:32:57.080623
bnpl,SEZL,20260416,2026-04-16T22:32:57.080623
cable-tv,CHTR,20260416,2026-04-16T22:32:57.080623
cable-tv,CMCSA,20260416,2026-04-16T22:32:57.080623
cafe,BROS,20260416,2026-04-16T22:32:57.080623
cafe,SBUX,20260416,2026-04-16T22:32:57.080623
capital-equipment-leasing,AER,20260416,2026-04-16T22:32:57.080623
capital-equipment-leasing,FTAI,20260416,2026-04-16T22:32:57.080623
capital-equipment-leasing,GATX,20260416,2026-04-16T22:32:57.080623
capital-equipment-leasing,TRN,20260416,2026-04-16T22:32:57.080623
capital-equipment-leasing,URI,20260416,2026-04-16T22:32:57.080623
cdn,AKAM,20260416,2026-04-16T22:32:57.080623
cdn,FSLY,20260416,2026-04-16T22:32:57.080623
cdn,NET,20260416,2026-04-16T22:32:57.080623
china-ai,BABA,20260416,2026-04-16T22:32:57.080623
china-ai,BIDU,20260416,2026-04-16T22:32:57.080623
china-ai,GDS,20260416,2026-04-16T22:32:57.080623
china-ai,KC,20260416,2026-04-16T22:32:57.080623
china-ai,VNET,20260416,2026-04-16T22:32:57.080623
chinese-ev,LI,20260416,2026-04-16T22:32:57.080623
chinese-ev,NIO,20260416,2026-04-16T22:32:57.080623
chinese-ev,XPEV,20260416,2026-04-16T22:32:57.080623
coking-coal,AMR,20260416,2026-04-16T22:32:57.080623
coking-coal,BTU,20260416,2026-04-16T22:32:57.080623
coking-coal,CNR,20260416,2026-04-16T22:32:57.080623
coking-coal,HCC,20260416,2026-04-16T22:32:57.080623
coking-coal,METC,20260416,2026-04-16T22:32:57.080623
coking-coal,SXC,20260416,2026-04-16T22:32:57.080623
commodity-chemicals,DOW,20260416,2026-04-16T22:32:57.080623
commodity-chemicals,LYB,20260416,2026-04-16T22:32:57.080623
confectionery,HSY,20260416,2026-04-16T22:32:57.080623
confectionery,MDLZ,20260416,2026-04-16T22:32:57.080623
confectionery,PEP,20260416,2026-04-16T22:32:57.080623
consulting,ACN,20260416,2026-04-16T22:32:57.080623
consulting,BAH,20260416,2026-04-16T22:32:57.080623
consulting,CTSH,20260416,2026-04-16T22:32:57.080623
consulting,IBM,20260416,2026-04-16T22:32:57.080623
consumer-lending,AFRM,20260416,2026-04-16T22:32:57.080623
consumer-lending,ALLY,20260416,2026-04-16T22:32:57.080623
consumer-lending,AXP,20260416,2026-04-16T22:32:57.080623
consumer-lending,COF,20260416,2026-04-16T22:32:57.080623
consumer-lending,FCFS,20260416,2026-04-16T22:32:57.080623
consumer-lending,KLAR,20260416,2026-04-16T22:32:57.080623
consumer-lending,OMF,20260416,2026-04-16T22:32:57.080623
consumer-lending,SLM,20260416,2026-04-16T22:32:57.080623
consumer-lending,SYF,20260416,2026-04-16T22:32:57.080623
consumer-lending,UPST,20260416,2026-04-16T22:32:57.080623
consumer-staples,CHD,20260416,2026-04-16T22:32:57.080623
consumer-staples,CL,20260416,2026-04-16T22:32:57.080623
consumer-staples,CLX,20260416,2026-04-16T22:32:57.080623
consumer-staples,HLN,20260416,2026-04-16T22:32:57.080623
consumer-staples,KMB,20260416,2026-04-16T22:32:57.080623
consumer-staples,KVUE,20260416,2026-04-16T22:32:57.080623
consumer-staples,PG,20260416,2026-04-16T22:32:57.080623
consumer-staples,REYN,20260416,2026-04-16T22:32:57.080623
consumer-staples,UL,20260416,2026-04-16T22:32:57.080623
content-studios,CMCSA,20260416,2026-04-16T22:32:57.080623
content-studios,DIS,20260416,2026-04-16T22:32:57.080623
content-studios,FOXA,20260416,2026-04-16T22:32:57.080623
content-studios,NWS,20260416,2026-04-16T22:32:57.080623
copper-mining,ERO,20260416,2026-04-16T22:32:57.080623
copper-mining,FCX,20260416,2026-04-16T22:32:57.080623
copper-mining,HBM,20260416,2026-04-16T22:32:57.080623
copper-mining,IE,20260416,2026-04-16T22:32:57.080623
copper-mining,SCCO,20260416,2026-04-16T22:32:57.080623
copper-mining,TECK,20260416,2026-04-16T22:32:57.080623
copper-mining,TGB,20260416,2026-04-16T22:32:57.080623
copper-mining,TMQ,20260416,2026-04-16T22:32:57.080623
corrugated-paper-packaging,GPK,20260416,2026-04-16T22:32:57.080623
corrugated-paper-packaging,IP,20260416,2026-04-16T22:32:57.080623
corrugated-paper-packaging,PKG,20260416,2026-04-16T22:32:57.080623
corrugated-paper-packaging,SON,20260416,2026-04-16T22:32:57.080623
corrugated-paper-packaging,SW,20260416,2026-04-16T22:32:57.080623
cosmetics-personal-care,EL,20260416,2026-04-16T22:32:57.080623
cosmetics-personal-care,ELF,20260416,2026-04-16T22:32:57.080623
cosmetics-personal-care,KVUE,20260416,2026-04-16T22:32:57.080623
cosmetics-personal-care,PG,20260416,2026-04-16T22:32:57.080623
cosmetics-personal-care,ULTA,20260416,2026-04-16T22:32:57.080623
cpu,AMD,20260416,2026-04-16T22:32:57.080623
cpu,ARM,20260416,2026-04-16T22:32:57.080623
cpu,INTC,20260416,2026-04-16T22:32:57.080623
cruise-lines,CCL,20260416,2026-04-16T22:32:57.080623
cruise-lines,NCLH,20260416,2026-04-16T22:32:57.080623
cruise-lines,RCL,20260416,2026-04-16T22:32:57.080623
cruise-lines,VIK,20260416,2026-04-16T22:32:57.080623
crypto,BLSH,20260416,2026-04-16T22:32:57.080623
crypto,CLSK,20260416,2026-04-16T22:32:57.080623
crypto,COIN,20260416,2026-04-16T22:32:57.080623
crypto,CRCL,20260416,2026-04-16T22:32:57.080623
crypto,FIGR,20260416,2026-04-16T22:32:57.080623
crypto,MARA,20260416,2026-04-16T22:32:57.080623
crypto,MSTR,20260416,2026-04-16T22:32:57.080623
crypto,XYZ,20260416,2026-04-16T22:32:57.080623
custom-ai-chips,AMKR,20260416,2026-04-16T22:32:57.080623
custom-ai-chips,ARM,20260416,2026-04-16T22:32:57.080623
custom-ai-chips,ASX,20260416,2026-04-16T22:32:57.080623
custom-ai-chips,AVGO,20260416,2026-04-16T22:32:57.080623
custom-ai-chips,MRVL,20260416,2026-04-16T22:32:57.080623
custom-ai-chips,TSM,20260416,2026-04-16T22:32:57.080623
cybersecurity-cloud,NET,20260416,2026-04-16T22:32:57.080623
cybersecurity-cloud,ZS,20260416,2026-04-16T22:32:57.080623
cybersecurity-data,CVLT,20260416,2026-04-16T22:32:57.080623
cybersecurity-data,RBRK,20260416,2026-04-16T22:32:57.080623
cybersecurity-end,CRWD,20260416,2026-04-16T22:32:57.080623
cybersecurity-end,S,20260416,2026-04-16T22:32:57.080623
cybersecurity-gen,CHKP,20260416,2026-04-16T22:32:57.080623
cybersecurity-gen,FTNT,20260416,2026-04-16T22:32:57.080623
cybersecurity-gen,PANW,20260416,2026-04-16T22:32:57.080623
cybersecurity-other,DDOG,20260416,2026-04-16T22:32:57.080623
cybersecurity-other,DT,20260416,2026-04-16T22:32:57.080623
cybersecurity-other,OKTA,20260416,2026-04-16T22:32:57.080623
cybersecurity-other,TENB,20260416,2026-04-16T22:32:57.080623
data-storage,MU,20260416,2026-04-16T22:32:57.080623
data-storage,SNDK,20260416,2026-04-16T22:32:57.080623
data-storage,STX,20260416,2026-04-16T22:32:57.080623
data-storage,WDC,20260416,2026-04-16T22:32:57.080623
dc-optical-device,AAOI,20260416,2026-04-16T22:32:57.080623
dc-optical-device,CIEN,20260416,2026-04-16T22:32:57.080623
dc-optical-device,COHR,20260416,2026-04-16T22:32:57.080623
dc-optical-device,GLW,20260416,2026-04-16T22:32:57.080623
dc-optical-device,KEYS,20260416,2026-04-16T22:32:57.080623
dc-optical-device,LITE,20260416,2026-04-16T22:32:57.080623
dc-optical-device,POET,20260416,2026-04-16T22:32:57.080623
dc-optical-device,SITM,20260416,2026-04-16T22:32:57.080623
dc-optical-device,VIAV,20260416,2026-04-16T22:32:57.080623
dc-optical-ems,AAOI,20260416,2026-04-16T22:32:57.080623
dc-optical-ems,COHR,20260416,2026-04-16T22:32:57.080623
