theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
analog-semi-generic,アナログ半導体：汎用,1,テクノロジー,-6827201854908469000,3,20260424,2026-04-24T02:43:29.153772
analog-semi-power,アナログ半導体：パワー,2,テクノロジー,-9221932635499320028,2,20260424,2026-04-24T02:43:29.153772
railways,鉄道貨物,3,資本財,2519336679949647967,5,20260424,2026-04-24T02:43:29.153772
capital-equipment-leasing,資本財リース,4,資本財,-4906748159397916987,5,20260424,2026-04-24T02:43:29.153772
gas-fracking,天然ガス掘削：米,5,エネルギー,2317271801158813968,5,20260424,2026-04-24T02:43:29.153772
analog-semi-sensor,アナログ半導体：センサ,6,テクノロジー,7381629360105310731,4,20260424,2026-04-24T02:43:29.153772
next-gen-power-supply,次世代電源,7,テクノロジー,5982140308961810931,6,20260424,2026-04-24T02:43:29.153772
solar-energy-storage,太陽光発電,8,テクノロジー,-4650041185478421350,5,20260424,2026-04-24T02:43:29.153772
humanoid-bones,人型ロボ：筋骨・神経,9,テクノロジー,8297598326900216406,6,20260424,2026-04-24T02:43:29.153772
cable-tv,ケーブルTV,10,通信,-3087092200684845964,2,20260424,2026-04-24T02:43:29.153772
environmental-waste,廃棄物・リサイクル,11,資本財,-2420868538369592531,6,20260424,2026-04-24T02:43:29.153772
defence-parts,防衛：素材・部材,12,資本財,3879491872294770417,4,20260424,2026-04-24T02:43:29.153772
beverages-diversified,総合飲料,13,消費者必需品,-4427539325905958467,5,20260424,2026-04-24T02:43:29.153772
tobacco,タバコ,14,消費者必需品,-4232866796832795163,3,20260424,2026-04-24T02:43:29.153772
onsite-power,オンサイト電源,15,テクノロジー,-6544170023283872244,5,20260424,2026-04-24T02:43:29.153772
mobile-telecom,モバイル通信,16,通信,-7255158396239151213,3,20260424,2026-04-24T02:43:29.153772
machinery-construction-ag,機械：建設/農業/資源,17,資本財,-3110756578366976758,5,20260424,2026-04-24T02:43:29.153772
corrugated-paper-packaging,製紙・段ボール,18,素材,-5449791868666938943,5,20260424,2026-04-24T02:43:29.153772
health-insurance-services,医療保険＋診療,19,ヘルスケア,-5835130061827692001,6,20260424,2026-04-24T02:43:29.153772
industrial-gases,産業ガス,20,素材,-3996322792937867559,2,20260424,2026-04-24T02:43:29.153772
dividend,高配当,21,その他,-8544124418306218785,9,20260424,2026-04-24T02:43:29.153772
dc-transformer,DC変圧器・スイッチギア,22,テクノロジー,-5904830612342128815,4,20260424,2026-04-24T02:43:29.153772
gas-utilities,ガス小売,23,公益,5646714983239887278,11,20260424,2026-04-24T02:43:29.153772
power-supply-regulated,電力：規制事業者,24,公益,5864343072779582399,8,20260424,2026-04-24T02:43:29.153772
power-supply-IPP,電力：IPP,25,公益,3910218523386180838,7,20260424,2026-04-24T02:43:29.153772
cpu,CPU,26,テクノロジー,-3162323906301783197,3,20260424,2026-04-24T02:43:29.153772
infra-contractors,電気工事・施工,27,資本財,3933934078754139122,5,20260424,2026-04-24T02:43:29.153772
multi-utilities,電気・ガス小売,28,公益,-6711074229060690996,12,20260424,2026-04-24T02:43:29.153772
natgas-exprot,天然ガス：輸出,29,エネルギー,3711127956951454768,3,20260424,2026-04-24T02:43:29.153772
water-utilities,水道,30,公益,2547736098096604125,3,20260424,2026-04-24T02:43:29.153772
semi-fab-infra,半導体工場インフラ,31,テクノロジー,6735501259763444675,5,20260424,2026-04-24T02:43:29.153772
toys,おもちゃ,32,消費者一般,-7350875346283133431,2,20260424,2026-04-24T02:43:29.153772
confectionery,菓子,33,消費者必需品,3976950991302390796,3,20260424,2026-04-24T02:43:29.153772
pub-construction-electric,インフラ工事：電力/通信,34,資本財,8353964938420796075,4,20260424,2026-04-24T02:43:29.153772
heat-infra,熱管理インフラ,35,テクノロジー,-5409963272130708561,6,20260424,2026-04-24T02:43:29.153772
trucking-intermodal,トラック輸送,36,資本財,-7424906768701873471,3,20260424,2026-04-24T02:43:29.153772
defence-engine,防衛：推進システム,37,資本財,7309050684906616252,3,20260424,2026-04-24T02:43:29.153772
drilling-services,掘削サービス,38,エネルギー,-5761798149409852115,4,20260424,2026-04-24T02:43:29.153772
rail-manufacturing,鉄道製造・リース,39,資本財,-7215253977353539501,7,20260424,2026-04-24T02:43:29.153772
meat-products,食肉,40,消費者必需品,2214616334712709502,2,20260424,2026-04-24T02:43:29.153772
pub-construction-transpo,インフラ工事：交通,41,資本財,4549972159789383894,2,20260424,2026-04-24T02:43:29.153772
semi-component,半導体製造装置：部品,42,テクノロジー,8166904138098842147,4,20260424,2026-04-24T02:43:29.153772
reit,REIT,43,不動産,6415677497959504976,10,20260424,2026-04-24T02:43:29.153772
facility-sanitation,施設衛生管理,44,資本財,9051951669352954791,3,20260424,2026-04-24T02:43:29.153772
semi-equip-back,半導体製造装置：後工程,45,テクノロジー,3532693808645324085,5,20260424,2026-04-24T02:43:29.153772
diversified-industrials,機械：多角化,46,資本財,5385529755052587011,7,20260424,2026-04-24T02:43:29.153772
ai-server-odm,AIサーバ：受託製造,47,テクノロジー,1536725586699737352,3,20260424,2026-04-24T02:43:29.153772
oil-exploration-production,石油探鉱・生産,48,エネルギー,-818515779138398051,2,20260424,2026-04-24T02:43:29.153772
dining,カジュアルダイニング,49,消費者一般,4646595291360542961,2,20260424,2026-04-24T02:43:29.153772
property-casualty-insurance,損害保険,50,金融,-691939994185599389,6,20260424,2026-04-24T02:43:29.153772
hvac,空調,51,資本財,8228944575538178378,3,20260424,2026-04-24T02:43:29.153772
custom-ai-chips,カスタムAI半導体,52,テクノロジー,-2798171863220541298,6,20260424,2026-04-24T02:43:29.153772
home-interior,住宅設備：屋内,53,消費者一般,-2911947690784888889,5,20260424,2026-04-24T02:43:29.153772
food-agriculture,化学：農業,54,素材,6416130595456401668,3,20260424,2026-04-24T02:43:29.153772
industrial-distribution,産業資材流通,55,資本財,5384386171422890212,4,20260424,2026-04-24T02:43:29.153772
robotics-industrial,ロボ：産業/医療,56,テクノロジー,-229477704477569661,3,20260424,2026-04-24T02:43:29.153772
power-infra,電源インフラ,57,資本財,3755423331414915417,6,20260424,2026-04-24T02:43:29.153772
consumer-staples,日用品,58,消費者必需品,6555395550269286720,9,20260424,2026-04-24T02:43:29.153772
semi-iot-ai,IOT×エッジAI,59,テクノロジー,3864607757197991258,6,20260424,2026-04-24T02:43:29.153772
drilling-equipment,掘削機器,60,エネルギー,8954288829453077501,3,20260424,2026-04-24T02:43:29.153772
housing-equipment-trading,住設専門商社,61,消費者一般,6912696255624477291,5,20260424,2026-04-24T02:43:29.153772
nuclear-nextgen,原発機器（次世代）,62,エネルギー,6591216957385553984,4,20260424,2026-04-24T02:43:29.153772
natgas-upstream,天然ガス：収集・加工,63,エネルギー,-3601601428662929706,3,20260424,2026-04-24T02:43:29.153772
pharma-distribution,医薬品卸,64,ヘルスケア,-8201326509057275651,4,20260424,2026-04-24T02:43:29.153772
aggregates-concrete,骨材・基礎資材,65,素材,-4792569604140840260,7,20260424,2026-04-24T02:43:29.153772
content-studios,コンテンツ・スタジオ,66,消費者一般,-4278594795442583060,4,20260424,2026-04-24T02:43:29.153772
grocery-retail,食品小売・量販店,67,消費者必需品,-3494054898209210081,4,20260424,2026-04-24T02:43:29.153772
homebuilders,ホームビルダー,68,消費者一般,-7572768895222096949,8,20260424,2026-04-24T02:43:29.153772
facility-equipment,施設設備,69,資本財,-6566005491299975539,6,20260424,2026-04-24T02:43:29.153772
logistics-air-freight,物流サービス,70,資本財,-6369154100375165007,5,20260424,2026-04-24T02:43:29.153772
neo-cloud,ネオクラウド,71,テクノロジー,-3591701423163432183,10,20260424,2026-04-24T02:43:29.153772
regional-bank,地銀,72,金融,-5924501756178545828,12,20260424,2026-04-24T02:43:29.153772
