strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,gas-fracking,天然ガス掘削：米,1,PUMP,PTEN,PTEN,HP,0.0935,0.0935,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,earth-observation,宇宙：地球観測,2,SPIR,PL,PL,BKSY,0.1173,0.1173,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,semi-consumables,半導体：材料・消耗品,3,ENTG,AXTI,AXTI,AXTI,0.1153,0.1153,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,refinary,石油精製,4,PARR,PARR,PARR,PARR,0.0878,0.0878,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,5,PBR,PBR,PBR,BP,0.0716,0.0716,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,dc-optical-device,光接続：インフラ,6,SITM,AAOI,VIAV,LITE,0.1523,0.1523,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,dc-optical-ems,光接続：トランシーバ,7,MRVL,MRVL,AAOI,FN,0.1338,0.1338,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,heat-infra,熱管理インフラ,8,FLEX,VRT,VRT,NVT,0.0773,0.0773,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,infra-contractors,電気工事・施工,9,FIX,MTZ,MTZ,STRL,0.0904,0.0904,0.1,,20260427,2026-04-27T22:43:08.729553
prism-r,dividend,高配当,10,TXN,VZ,VZ,ABBV,0.0609,0.0609,0.1,,20260427,2026-04-27T22:43:08.729553
prism-g2,data-storage,データストレージ,,SNDK,,,,0.2753,0.2753,,,20260427,2026-04-27T22:43:08.729553
prism-g2,dc-optical-device,光接続：インフラ,,AAOI,,,,0.1989,0.1989,,,20260427,2026-04-27T22:43:08.729553
prism-g2,semi-equip-back,半導体製造装置：後工程,,AEHR,,,,0.1518,0.1518,,,20260427,2026-04-27T22:43:08.729553
prism-g2,custom-ai-chips,カスタムAI半導体,,MRVL,,,,0.1141,0.1141,,,20260427,2026-04-27T22:43:08.729553
prism-g2,dc-transformer,DC変圧器・スイッチギア,,POWL,,,,0.1067,0.1067,,,20260427,2026-04-27T22:43:08.729553
prism-g2,earth-observation,宇宙：地球観測,,SPIR,,,,0.1532,0.1532,,,20260427,2026-04-27T22:43:08.729553
prism,半導体製造装置：部品,半導体製造装置：部品,1,SANM,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,AI半導体：コア銘柄,AI半導体：コア銘柄,2,FLEX,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,次世代電源,次世代電源,3,AMD,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,アナログ半導体：汎用,アナログ半導体：汎用,4,MRVL,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,光接続：スイッチ,光接続：スイッチ,5,AMKR,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,DC変圧器・スイッチギア,DC変圧器・スイッチギア,6,ARM,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,AIサーバ：受託製造,AIサーバ：受託製造,7,GEV,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,インフラ工事：電力/通信,インフラ工事：電力/通信,8,ETN,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,電気工事・施工,電気工事・施工,9,TXN,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,オンサイト電源,オンサイト電源,10,ADI,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,Appleインテリジェンス,Appleインテリジェンス,11,MTZ,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,12,DY,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,13,BE,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,14,CLS,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,15,MKSI,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,16,AEIS,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,17,VICR,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,18,ON,,,,0.0292,,,OPEN,20260427,2026-04-27T22:43:08.729553
prism,,,19,FIX,,,,0.0421,,,OPEN,20260427,2026-04-27T22:43:08.729553
