strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,data-storage,データストレージ,1,STX,SNDK,SNDK,WDC,0.2216,0.2216,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,2,PBR,PBR,PBR,BP,0.0661,0.0661,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,semi-component,半導体製造装置：部品,3,UCTT,ICHR,ICHR,AEIS,0.1158,0.1158,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,dc-optical-device,光接続：インフラ,4,AAOI,AAOI,VIAV,LITE,0.1476,0.1476,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,gas-fracking,天然ガス掘削：米,5,PUMP,PTEN,PTEN,HP,0.0815,0.0815,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,refinary,石油精製,6,PARR,PARR,PARR,PARR,0.0788,0.0788,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,infra-contractors,電気工事・施工,7,MTZ,MTZ,MTZ,STRL,0.0838,0.0838,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,heat-infra,熱管理インフラ,8,FLEX,MOD,MOD,NVT,0.072,0.072,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,pub-construction-electric,インフラ工事：電力/通信,9,MYRG,MYRG,PWR,MTZ,0.0776,0.0776,0.1,,20260420,2026-04-20T22:36:43.620475
prism-r,dividend,高配当,10,TXN,VZ,VZ,ABBV,0.0552,0.0552,0.1,,20260420,2026-04-20T22:36:43.620475
prism-g2,dc-optical-ems,光接続：トランシーバ,,AAOI,,,,0.1747,0.1747,,,20260420,2026-04-20T22:36:43.620475
prism-g2,semi-equip-back,半導体製造装置：後工程,,AEHR,,,,0.1464,0.1464,,,20260420,2026-04-20T22:36:43.620475
prism-g2,earth-observation,宇宙：地球観測,,SATL,,,,0.133,0.1329,,,20260420,2026-04-20T22:36:43.620475
prism-g2,semi-consumables,半導体：材料・消耗品,,AXTI,,,,0.1424,0.1424,,,20260420,2026-04-20T22:36:43.620475
prism-g2,data-storage,データストレージ,,SNDK,,,,0.3,0.3001,,,20260420,2026-04-20T22:36:43.620475
prism-g2,custom-ai-chips,カスタムAI半導体,,MRVL,,,,0.1035,0.1034,,,20260420,2026-04-20T22:36:43.620475
prism,アナログ半導体：汎用,アナログ半導体：汎用,1,FLEX,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,光接続：スイッチ,光接続：スイッチ,2,JBL,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,多角化資源,多角化資源,3,MRVL,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,AI半導体：コア銘柄,AI半導体：コア銘柄,4,AMD,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,次世代冷媒,次世代冷媒,5,AMKR,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,DC変圧器・スイッチギア,DC変圧器・スイッチギア,6,ARM,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,アナログ半導体：センサ,アナログ半導体：センサ,7,ETN,,,,0.0471,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,Appleインテリジェンス,Appleインテリジェンス,8,GEV,,,,0.0471,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,AIサーバ：受託製造,AIサーバ：受託製造,9,MCHP,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,10,NXPI,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,11,TXN,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,12,ADI,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,13,CLS,,,,0.0318,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,14,VALE,,,,0.0471,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,15,BHP,,,,0.0471,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,16,SOLS,,,,0.0471,,,OPEN,20260420,2026-04-20T22:36:43.620475
prism,,,17,CC,,,,0.0471,,,OPEN,20260420,2026-04-20T22:36:43.620475
