theme,ticker,snapshot_date,retrieved_at
activewear,AS,20260424,2026-04-24T02:43:29.045007
activewear,BIRK,20260424,2026-04-24T02:43:29.045007
activewear,DECK,20260424,2026-04-24T02:43:29.045007
activewear,LULU,20260424,2026-04-24T02:43:29.045007
activewear,NKE,20260424,2026-04-24T02:43:29.045007
activewear,ONON,20260424,2026-04-24T02:43:29.045007
ad-tech,APP,20260424,2026-04-24T02:43:29.045007
ad-tech,DV,20260424,2026-04-24T02:43:29.045007
ad-tech,MGNI,20260424,2026-04-24T02:43:29.045007
ad-tech,TTD,20260424,2026-04-24T02:43:29.045007
ad-tech,U,20260424,2026-04-24T02:43:29.045007
ad-tech,ZETA,20260424,2026-04-24T02:43:29.045007
advertising-platforms,GOOGL,20260424,2026-04-24T02:43:29.045007
advertising-platforms,META,20260424,2026-04-24T02:43:29.045007
advertising-platforms,PINS,20260424,2026-04-24T02:43:29.045007
advertising-platforms,RDDT,20260424,2026-04-24T02:43:29.045007
advertising-platforms,ROKU,20260424,2026-04-24T02:43:29.045007
advertising-platforms,SNAP,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,ACA,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,CRH,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,EXP,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,KNF,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,MLM,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,USLM,20260424,2026-04-24T02:43:29.045007
aggregates-concrete,VMC,20260424,2026-04-24T02:43:29.045007
agribusiness,ADM,20260424,2026-04-24T02:43:29.045007
agribusiness,BG,20260424,2026-04-24T02:43:29.045007
ai-infrastructure-software,DDOG,20260424,2026-04-24T02:43:29.045007
ai-infrastructure-software,MDB,20260424,2026-04-24T02:43:29.045007
ai-infrastructure-software,PATH,20260424,2026-04-24T02:43:29.045007
ai-infrastructure-software,SNOW,20260424,2026-04-24T02:43:29.045007
ai-pharma,ABSI,20260424,2026-04-24T02:43:29.045007
ai-pharma,CERT,20260424,2026-04-24T02:43:29.045007
ai-pharma,GH,20260424,2026-04-24T02:43:29.045007
ai-pharma,RLAY,20260424,2026-04-24T02:43:29.045007
ai-pharma,RXRX,20260424,2026-04-24T02:43:29.045007
ai-pharma,SDGR,20260424,2026-04-24T02:43:29.045007
ai-pharma,TEM,20260424,2026-04-24T02:43:29.045007
ai-semiconductor-core,AMD,20260424,2026-04-24T02:43:29.045007
ai-semiconductor-core,AVGO,20260424,2026-04-24T02:43:29.045007
ai-semiconductor-core,MRVL,20260424,2026-04-24T02:43:29.045007
ai-semiconductor-core,MU,20260424,2026-04-24T02:43:29.045007
ai-semiconductor-core,NVDA,20260424,2026-04-24T02:43:29.045007
ai-server-odm,FLEX,20260424,2026-04-24T02:43:29.045007
ai-server-odm,JBL,20260424,2026-04-24T02:43:29.045007
ai-server-odm,SANM,20260424,2026-04-24T02:43:29.045007
airlines-lcc,ALK,20260424,2026-04-24T02:43:29.045007
airlines-lcc,LUV,20260424,2026-04-24T02:43:29.045007
airlines-legacy,AAL,20260424,2026-04-24T02:43:29.045007
airlines-legacy,DAL,20260424,2026-04-24T02:43:29.045007
airlines-legacy,UAL,20260424,2026-04-24T02:43:29.045007
alcoholic-beverages,ABEV,20260424,2026-04-24T02:43:29.045007
alcoholic-beverages,BUD,20260424,2026-04-24T02:43:29.045007
alcoholic-beverages,DEO,20260424,2026-04-24T02:43:29.045007
alcoholic-beverages,STZ,20260424,2026-04-24T02:43:29.045007
alcoholic-beverages,TAP,20260424,2026-04-24T02:43:29.045007
alminium,AA,20260424,2026-04-24T02:43:29.045007
alminium,CENX,20260424,2026-04-24T02:43:29.045007
american-casual,AEO,20260424,2026-04-24T02:43:29.045007
american-casual,ANF,20260424,2026-04-24T02:43:29.045007
american-casual,GAP,20260424,2026-04-24T02:43:29.045007
american-casual,LEVI,20260424,2026-04-24T02:43:29.045007
american-casual,URBN,20260424,2026-04-24T02:43:29.045007
american-casual,VFC,20260424,2026-04-24T02:43:29.045007
analog-semi-comm,QRVO,20260424,2026-04-24T02:43:29.045007
analog-semi-comm,SWKS,20260424,2026-04-24T02:43:29.045007
analog-semi-generic,ADI,20260424,2026-04-24T02:43:29.045007
analog-semi-generic,DIOD,20260424,2026-04-24T02:43:29.045007
analog-semi-generic,TXN,20260424,2026-04-24T02:43:29.045007
