theme,ticker,snapshot_date,retrieved_at
activewear,AS,20260427,2026-04-27T22:43:08.618657
activewear,BIRK,20260427,2026-04-27T22:43:08.618657
activewear,DECK,20260427,2026-04-27T22:43:08.618657
activewear,LULU,20260427,2026-04-27T22:43:08.618657
activewear,NKE,20260427,2026-04-27T22:43:08.618657
activewear,ONON,20260427,2026-04-27T22:43:08.618657
ad-tech,APP,20260427,2026-04-27T22:43:08.618657
ad-tech,DV,20260427,2026-04-27T22:43:08.618657
ad-tech,MGNI,20260427,2026-04-27T22:43:08.618657
ad-tech,TTD,20260427,2026-04-27T22:43:08.618657
ad-tech,U,20260427,2026-04-27T22:43:08.618657
ad-tech,ZETA,20260427,2026-04-27T22:43:08.618657
advertising-platforms,GOOGL,20260427,2026-04-27T22:43:08.618657
advertising-platforms,META,20260427,2026-04-27T22:43:08.618657
advertising-platforms,PINS,20260427,2026-04-27T22:43:08.618657
advertising-platforms,RDDT,20260427,2026-04-27T22:43:08.618657
advertising-platforms,ROKU,20260427,2026-04-27T22:43:08.618657
advertising-platforms,SNAP,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,ACA,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,CRH,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,EXP,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,KNF,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,MLM,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,USLM,20260427,2026-04-27T22:43:08.618657
aggregates-concrete,VMC,20260427,2026-04-27T22:43:08.618657
agribusiness,ADM,20260427,2026-04-27T22:43:08.618657
agribusiness,BG,20260427,2026-04-27T22:43:08.618657
ai-infrastructure-software,DDOG,20260427,2026-04-27T22:43:08.618657
ai-infrastructure-software,MDB,20260427,2026-04-27T22:43:08.618657
ai-infrastructure-software,PATH,20260427,2026-04-27T22:43:08.618657
ai-infrastructure-software,SNOW,20260427,2026-04-27T22:43:08.618657
ai-pharma,ABSI,20260427,2026-04-27T22:43:08.618657
ai-pharma,CERT,20260427,2026-04-27T22:43:08.618657
