theme,ticker,snapshot_date,retrieved_at
activewear,AS,20260414,2026-04-14T22:39:31.097531
activewear,BIRK,20260414,2026-04-14T22:39:31.097531
activewear,DECK,20260414,2026-04-14T22:39:31.097531
activewear,LULU,20260414,2026-04-14T22:39:31.097531
activewear,NKE,20260414,2026-04-14T22:39:31.097531
activewear,ONON,20260414,2026-04-14T22:39:31.097531
ad-tech,APP,20260414,2026-04-14T22:39:31.097531
ad-tech,DV,20260414,2026-04-14T22:39:31.097531
ad-tech,MGNI,20260414,2026-04-14T22:39:31.097531
ad-tech,TTD,20260414,2026-04-14T22:39:31.097531
ad-tech,U,20260414,2026-04-14T22:39:31.097531
ad-tech,ZETA,20260414,2026-04-14T22:39:31.097531
advertising-platforms,GOOGL,20260414,2026-04-14T22:39:31.097531
advertising-platforms,META,20260414,2026-04-14T22:39:31.097531
advertising-platforms,PINS,20260414,2026-04-14T22:39:31.097531
advertising-platforms,RDDT,20260414,2026-04-14T22:39:31.097531
advertising-platforms,ROKU,20260414,2026-04-14T22:39:31.097531
advertising-platforms,SNAP,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,ACA,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,CRH,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,EXP,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,KNF,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,MLM,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,USLM,20260414,2026-04-14T22:39:31.097531
aggregates-concrete,VMC,20260414,2026-04-14T22:39:31.097531
agribusiness,ADM,20260414,2026-04-14T22:39:31.097531
agribusiness,BG,20260414,2026-04-14T22:39:31.097531
ai-infrastructure-software,DDOG,20260414,2026-04-14T22:39:31.097531
ai-infrastructure-software,MDB,20260414,2026-04-14T22:39:31.097531
ai-infrastructure-software,PATH,20260414,2026-04-14T22:39:31.097531
ai-infrastructure-software,SNOW,20260414,2026-04-14T22:39:31.097531
ai-pharma,ABSI,20260414,2026-04-14T22:39:31.097531
ai-pharma,CERT,20260414,2026-04-14T22:39:31.097531
ai-pharma,GH,20260414,2026-04-14T22:39:31.097531
ai-pharma,RLAY,20260414,2026-04-14T22:39:31.097531
ai-pharma,RXRX,20260414,2026-04-14T22:39:31.097531
ai-pharma,SDGR,20260414,2026-04-14T22:39:31.097531
ai-pharma,TEM,20260414,2026-04-14T22:39:31.097531
ai-semiconductor-core,AMD,20260414,2026-04-14T22:39:31.097531
ai-semiconductor-core,AVGO,20260414,2026-04-14T22:39:31.097531
ai-semiconductor-core,MRVL,20260414,2026-04-14T22:39:31.097531
ai-semiconductor-core,MU,20260414,2026-04-14T22:39:31.097531
ai-semiconductor-core,NVDA,20260414,2026-04-14T22:39:31.097531
ai-server-odm,FLEX,20260414,2026-04-14T22:39:31.097531
ai-server-odm,JBL,20260414,2026-04-14T22:39:31.097531
ai-server-odm,SANM,20260414,2026-04-14T22:39:31.097531
airlines-lcc,ALK,20260414,2026-04-14T22:39:31.097531
airlines-lcc,LUV,20260414,2026-04-14T22:39:31.097531
airlines-legacy,AAL,20260414,2026-04-14T22:39:31.097531
airlines-legacy,DAL,20260414,2026-04-14T22:39:31.097531
airlines-legacy,UAL,20260414,2026-04-14T22:39:31.097531
alcoholic-beverages,ABEV,20260414,2026-04-14T22:39:31.097531
alcoholic-beverages,BUD,20260414,2026-04-14T22:39:31.097531
alcoholic-beverages,DEO,20260414,2026-04-14T22:39:31.097531
alcoholic-beverages,STZ,20260414,2026-04-14T22:39:31.097531
alcoholic-beverages,TAP,20260414,2026-04-14T22:39:31.097531
alminium,AA,20260414,2026-04-14T22:39:31.097531
alminium,CENX,20260414,2026-04-14T22:39:31.097531
american-casual,AEO,20260414,2026-04-14T22:39:31.097531
american-casual,ANF,20260414,2026-04-14T22:39:31.097531
american-casual,GAP,20260414,2026-04-14T22:39:31.097531
american-casual,LEVI,20260414,2026-04-14T22:39:31.097531
american-casual,URBN,20260414,2026-04-14T22:39:31.097531
american-casual,VFC,20260414,2026-04-14T22:39:31.097531
analog-semi-comm,QRVO,20260414,2026-04-14T22:39:31.097531
analog-semi-comm,SWKS,20260414,2026-04-14T22:39:31.097531
analog-semi-generic,ADI,20260414,2026-04-14T22:39:31.097531
analog-semi-generic,DIOD,20260414,2026-04-14T22:39:31.097531
analog-semi-generic,TXN,20260414,2026-04-14T22:39:31.097531
analog-semi-power,MPWR,20260414,2026-04-14T22:39:31.097531
analog-semi-power,ON,20260414,2026-04-14T22:39:31.097531
analog-semi-sensor,ALGM,20260414,2026-04-14T22:39:31.097531
analog-semi-sensor,MCHP,20260414,2026-04-14T22:39:31.097531
analog-semi-sensor,NXPI,20260414,2026-04-14T22:39:31.097531
analog-semi-sensor,SLAB,20260414,2026-04-14T22:39:31.097531
apple-intelligence,AAPL,20260414,2026-04-14T22:39:31.097531
apple-intelligence,AMKR,20260414,2026-04-14T22:39:31.097531
apple-intelligence,ARM,20260414,2026-04-14T22:39:31.097531
apple-intelligence,GLW,20260414,2026-04-14T22:39:31.097531
apple-intelligence,SWKS,20260414,2026-04-14T22:39:31.097531
apple-intelligence,TSM,20260414,2026-04-14T22:39:31.097531
auto-maintenance,AZO,20260414,2026-04-14T22:39:31.097531
auto-maintenance,GPC,20260414,2026-04-14T22:39:31.097531
auto-maintenance,ORLY,20260414,2026-04-14T22:39:31.097531
auto-parts,ALV,20260414,2026-04-14T22:39:31.097531
auto-parts,APTV,20260414,2026-04-14T22:39:31.097531
auto-parts,BWA,20260414,2026-04-14T22:39:31.097531
auto-parts,GNTX,20260414,2026-04-14T22:39:31.097531
auto-parts,LEA,20260414,2026-04-14T22:39:31.097531
auto-parts,MGA,20260414,2026-04-14T22:39:31.097531
autonomous,AMBA,20260414,2026-04-14T22:39:31.097531
autonomous,AUR,20260414,2026-04-14T22:39:31.097531
autonomous,MBLY,20260414,2026-04-14T22:39:31.097531
autonomous,QCOM,20260414,2026-04-14T22:39:31.097531
autonomous,TSLA,20260414,2026-04-14T22:39:31.097531
battery-storage,EOSE,20260414,2026-04-14T22:39:31.097531
battery-storage,FLNC,20260414,2026-04-14T22:39:31.097531
battery-storage,GWH,20260414,2026-04-14T22:39:31.097531
battery-storage,STEM,20260414,2026-04-14T22:39:31.097531
beverages-diversified,CELH,20260414,2026-04-14T22:39:31.097531
beverages-diversified,KDP,20260414,2026-04-14T22:39:31.097531
beverages-diversified,KO,20260414,2026-04-14T22:39:31.097531
beverages-diversified,MNST,20260414,2026-04-14T22:39:31.097531
beverages-diversified,PEP,20260414,2026-04-14T22:39:31.097531
biotech-diversified,ABBV,20260414,2026-04-14T22:39:31.097531
biotech-diversified,AMGN,20260414,2026-04-14T22:39:31.097531
biotech-diversified,BIIB,20260414,2026-04-14T22:39:31.097531
biotech-diversified,GILD,20260414,2026-04-14T22:39:31.097531
biotech-diversified,REGN,20260414,2026-04-14T22:39:31.097531
biotech-genomics,CRSP,20260414,2026-04-14T22:39:31.097531
biotech-genomics,INCY,20260414,2026-04-14T22:39:31.097531
biotech-genomics,MRNA,20260414,2026-04-14T22:39:31.097531
biotech-genomics,NTRA,20260414,2026-04-14T22:39:31.097531
biotech-genomics,VKTX,20260414,2026-04-14T22:39:31.097531
biotech-specialized,ARGX,20260414,2026-04-14T22:39:31.097531
biotech-specialized,INSM,20260414,2026-04-14T22:39:31.097531
biotech-specialized,VRTX,20260414,2026-04-14T22:39:31.097531
bnpl,AFRM,20260414,2026-04-14T22:39:31.097531
bnpl,KLAR,20260414,2026-04-14T22:39:31.097531
bnpl,SEZL,20260414,2026-04-14T22:39:31.097531
cable-tv,CHTR,20260414,2026-04-14T22:39:31.097531
cable-tv,CMCSA,20260414,2026-04-14T22:39:31.097531
cafe,BROS,20260414,2026-04-14T22:39:31.097531
cafe,SBUX,20260414,2026-04-14T22:39:31.097531
capital-equipment-leasing,AER,20260414,2026-04-14T22:39:31.097531
capital-equipment-leasing,FTAI,20260414,2026-04-14T22:39:31.097531
capital-equipment-leasing,GATX,20260414,2026-04-14T22:39:31.097531
capital-equipment-leasing,TRN,20260414,2026-04-14T22:39:31.097531
capital-equipment-leasing,URI,20260414,2026-04-14T22:39:31.097531
cdn,AKAM,20260414,2026-04-14T22:39:31.097531
cdn,FSLY,20260414,2026-04-14T22:39:31.097531
cdn,NET,20260414,2026-04-14T22:39:31.097531
china-ai,BABA,20260414,2026-04-14T22:39:31.097531
china-ai,BIDU,20260414,2026-04-14T22:39:31.097531
china-ai,GDS,20260414,2026-04-14T22:39:31.097531
china-ai,KC,20260414,2026-04-14T22:39:31.097531
china-ai,VNET,20260414,2026-04-14T22:39:31.097531
chinese-ev,LI,20260414,2026-04-14T22:39:31.097531
chinese-ev,NIO,20260414,2026-04-14T22:39:31.097531
chinese-ev,XPEV,20260414,2026-04-14T22:39:31.097531
coking-coal,AMR,20260414,2026-04-14T22:39:31.097531
coking-coal,BTU,20260414,2026-04-14T22:39:31.097531
coking-coal,CNR,20260414,2026-04-14T22:39:31.097531
coking-coal,HCC,20260414,2026-04-14T22:39:31.097531
coking-coal,METC,20260414,2026-04-14T22:39:31.097531
coking-coal,SXC,20260414,2026-04-14T22:39:31.097531
commodity-chemicals,DOW,20260414,2026-04-14T22:39:31.097531
commodity-chemicals,LYB,20260414,2026-04-14T22:39:31.097531
confectionery,HSY,20260414,2026-04-14T22:39:31.097531
confectionery,MDLZ,20260414,2026-04-14T22:39:31.097531
confectionery,PEP,20260414,2026-04-14T22:39:31.097531
consulting,ACN,20260414,2026-04-14T22:39:31.097531
consulting,BAH,20260414,2026-04-14T22:39:31.097531
consulting,CTSH,20260414,2026-04-14T22:39:31.097531
consulting,IBM,20260414,2026-04-14T22:39:31.097531
consumer-lending,AFRM,20260414,2026-04-14T22:39:31.097531
consumer-lending,ALLY,20260414,2026-04-14T22:39:31.097531
consumer-lending,AXP,20260414,2026-04-14T22:39:31.097531
consumer-lending,COF,20260414,2026-04-14T22:39:31.097531
consumer-lending,FCFS,20260414,2026-04-14T22:39:31.097531
consumer-lending,KLAR,20260414,2026-04-14T22:39:31.097531
consumer-lending,OMF,20260414,2026-04-14T22:39:31.097531
consumer-lending,SLM,20260414,2026-04-14T22:39:31.097531
consumer-lending,SYF,20260414,2026-04-14T22:39:31.097531
consumer-lending,UPST,20260414,2026-04-14T22:39:31.097531
consumer-staples,CHD,20260414,2026-04-14T22:39:31.097531
consumer-staples,CL,20260414,2026-04-14T22:39:31.097531
consumer-staples,CLX,20260414,2026-04-14T22:39:31.097531
consumer-staples,HLN,20260414,2026-04-14T22:39:31.097531
consumer-staples,KMB,20260414,2026-04-14T22:39:31.097531
consumer-staples,KVUE,20260414,2026-04-14T22:39:31.097531
consumer-staples,PG,20260414,2026-04-14T22:39:31.097531
consumer-staples,REYN,20260414,2026-04-14T22:39:31.097531
consumer-staples,UL,20260414,2026-04-14T22:39:31.097531
content-studios,CMCSA,20260414,2026-04-14T22:39:31.097531
content-studios,DIS,20260414,2026-04-14T22:39:31.097531
content-studios,FOXA,20260414,2026-04-14T22:39:31.097531
content-studios,NWS,20260414,2026-04-14T22:39:31.097531
copper-mining,ERO,20260414,2026-04-14T22:39:31.097531
copper-mining,FCX,20260414,2026-04-14T22:39:31.097531
copper-mining,HBM,20260414,2026-04-14T22:39:31.097531
copper-mining,IE,20260414,2026-04-14T22:39:31.097531
copper-mining,SCCO,20260414,2026-04-14T22:39:31.097531
copper-mining,TECK,20260414,2026-04-14T22:39:31.097531
copper-mining,TGB,20260414,2026-04-14T22:39:31.097531
copper-mining,TMQ,20260414,2026-04-14T22:39:31.097531
corrugated-paper-packaging,GPK,20260414,2026-04-14T22:39:31.097531
corrugated-paper-packaging,IP,20260414,2026-04-14T22:39:31.097531
corrugated-paper-packaging,PKG,20260414,2026-04-14T22:39:31.097531
corrugated-paper-packaging,SON,20260414,2026-04-14T22:39:31.097531
corrugated-paper-packaging,SW,20260414,2026-04-14T22:39:31.097531
cosmetics-personal-care,EL,20260414,2026-04-14T22:39:31.097531
cosmetics-personal-care,ELF,20260414,2026-04-14T22:39:31.097531
cosmetics-personal-care,KVUE,20260414,2026-04-14T22:39:31.097531
cosmetics-personal-care,PG,20260414,2026-04-14T22:39:31.097531
cosmetics-personal-care,ULTA,20260414,2026-04-14T22:39:31.097531
cpu,AMD,20260414,2026-04-14T22:39:31.097531
