strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,gas-fracking,天然ガス掘削：米,1,PUMP,PTEN,PTEN,HP,0.0871,0.0871,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,dc-optical-device,光接続：インフラ,2,CIEN,AAOI,VIAV,LITE,0.1521,0.1521,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,semi-component,半導体製造装置：部品,3,UCTT,UCTT,UCTT,AEIS,0.1248,0.1248,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,infra-contractors,電気工事・施工,4,MTZ,MTZ,MTZ,STRL,0.093,0.093,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,dc-optical-ems,光接続：トランシーバ,5,MRVL,MRVL,AAOI,FN,0.1339,0.1339,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,6,TTE,PBR,PBR,BP,0.0753,0.0753,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,refinary,石油精製,7,PARR,PARR,PARR,PARR,0.0842,0.0842,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,onsite-power,オンサイト電源,8,GEV,GEV,GEV,BE,0.1012,0.1012,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,pub-construction-electric,インフラ工事：電力/通信,9,MYRG,PWR,PWR,DY,0.0869,0.0869,0.1,,20260413,2026-04-13T23:38:58.289333
prism-r,dividend,高配当,10,TXN,COP,COP,ABBV,0.0617,0.0617,0.1,,20260413,2026-04-13T23:38:58.289333
prism-g2,dc-optical-ems,光接続：トランシーバ,,AAOI,,,,0.1727,0.1727,,,20260413,2026-04-13T23:38:58.289333
prism-g2,semi-component,半導体製造装置：部品,,UCTT,,,,0.1609,0.1609,,,20260413,2026-04-13T23:38:58.289333
prism-g2,data-storage,データストレージ,,SNDK,,,,0.2861,0.2861,,,20260413,2026-04-13T23:38:58.289333
prism-g2,earth-observation,宇宙：地球観測,,SATL,,,,0.1354,0.1354,,,20260413,2026-04-13T23:38:58.289333
prism-g2,semi-consumables,半導体：材料・消耗品,,AXTI,,,,0.139,0.139,,,20260413,2026-04-13T23:38:58.289333
prism-g2,dc-transformer,DC変圧器・スイッチギア,,POWL,,,,0.1058,0.1058,,,20260413,2026-04-13T23:38:58.289333
prism,トラック輸送,トラック輸送,1,ODFL,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,産業ガス,産業ガス,2,XPO,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,水道,水道,3,SBS,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,電源インフラ,電源インフラ,4,WTRG,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,産業資材流通,産業資材流通,5,APD,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,,,6,LIN,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,,,7,WCC,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,,,8,GWW,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,,,9,ETN,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
prism,,,10,HUBB,,,,0.03,,,CLOSED,20260413,2026-04-13T23:38:58.289333
