theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
bnpl,BNPL,58,金融,-942003935910273788,3,20260416,2026-04-16T22:32:57.178853
re-pf,不動産検索PF,59,不動産,-7623782968518249809,2,20260416,2026-04-16T22:32:57.178853
ad-tech,広告テック,60,通信,3742281439679572603,6,20260416,2026-04-16T22:32:57.178853
insurance-dx,保険DX,61,金融,-8490991237255179084,3,20260416,2026-04-16T22:32:57.178853
food-agriculture,化学：農業,62,素材,8488360443319017674,3,20260416,2026-04-16T22:32:57.178853
ai-semiconductor-core,AI半導体：コア銘柄,63,テクノロジー,585730942178705271,5,20260416,2026-04-16T22:32:57.178853
cybersecurity-data,サイバー：データ保護,64,テクノロジー,6985375519253318129,2,20260416,2026-04-16T22:32:57.178853
soft-vertical,ソフト：業界特化,65,テクノロジー,-5481281713008920655,9,20260416,2026-04-16T22:32:57.178853
outdoor-products,アウトドア製品,66,消費者一般,8600297122003892267,3,20260416,2026-04-16T22:32:57.178853
uranium,ウラン,67,エネルギー,6515184123387261126,11,20260416,2026-04-16T22:32:57.178853
soft-comm,ソフト：コミュニケション,68,テクノロジー,-3783986585504267576,3,20260416,2026-04-16T22:32:57.178853
alminium,アルミ,69,素材,7283773327143200477,2,20260416,2026-04-16T22:32:57.178853
dividend,高配当,70,その他,2489720549858337333,9,20260416,2026-04-16T22:32:57.178853
data-storage,データストレージ,71,テクノロジー,3145491459695657890,4,20260416,2026-04-16T22:32:57.178853
humanoid-eyes,人型ロボ：目,72,テクノロジー,3559837027122171556,3,20260416,2026-04-16T22:32:57.178853
reit,REIT,73,不動産,7796273707444728153,10,20260416,2026-04-16T22:32:57.178853
drilling-equipment,掘削機器,74,エネルギー,2487304567336028027,3,20260416,2026-04-16T22:32:57.178853
nextgen-batteries,次世代セル,75,エネルギー,3069945078796952994,5,20260416,2026-04-16T22:32:57.178853
machinery-construction-ag,機械：建設/農業/資源,76,資本財,-364832310189161644,5,20260416,2026-04-16T22:32:57.178853
drones,軍用ドローン,77,資本財,884035999536472702,7,20260416,2026-04-16T22:32:57.178853
ai-infrastructure-software,ソフト：AI利用基盤,78,テクノロジー,-8902263541662540014,4,20260416,2026-04-16T22:32:57.178853
analog-semi-comm,アナログ半導体：通信,79,テクノロジー,-6333969542206653321,2,20260416,2026-04-16T22:32:57.178853
confectionery,菓子,80,消費者必需品,-8911161854598755413,3,20260416,2026-04-16T22:32:57.178853
american-casual,アメカジ,81,消費者一般,-5663281479823981931,6,20260416,2026-04-16T22:32:57.178853
multi-utilities,電気・ガス小売,82,公益,5218370860644167402,12,20260416,2026-04-16T22:32:57.178853
soft-marketing,ソフト：マーケ・販売,83,テクノロジー,-6564468281913823397,6,20260416,2026-04-16T22:32:57.178853
natgas-upstream,天然ガス：収集・加工,84,エネルギー,-550447735921548556,3,20260416,2026-04-16T22:32:57.178853
custom-ai-chips,カスタムAI半導体,85,テクノロジー,-4816387968381113659,6,20260416,2026-04-16T22:32:57.178853
consulting,コンサル,86,テクノロジー,6325263058391470797,4,20260416,2026-04-16T22:32:57.178853
semiconductor-design,半導体設計ソフト,87,テクノロジー,6267937970605141326,2,20260416,2026-04-16T22:32:57.178853
memory-shortage,DRAM品薄,88,テクノロジー,-5667361372086497299,7,20260416,2026-04-16T22:32:57.178853
grocery-retail,食品小売・量販店,89,消費者必需品,6693460473798552212,4,20260416,2026-04-16T22:32:57.178853
advertising-platforms,ネットメディア,90,通信,4306791476151604587,6,20260416,2026-04-16T22:32:57.178853
housing-equipment-trading,住設専門商社,91,消費者一般,513816687091545010,5,20260416,2026-04-16T22:32:57.178853
payment-tech,決済テック,92,金融,-1631929052488019944,4,20260416,2026-04-16T22:32:57.178853
power-supply-IPP,電力：IPP,93,公益,-452786925560283880,7,20260416,2026-04-16T22:32:57.178853
pharma-distribution,医薬品卸,94,ヘルスケア,-7183989265290457014,4,20260416,2026-04-16T22:32:57.178853
auto-parts,自動車部品,95,消費者一般,997909877891092123,6,20260416,2026-04-16T22:32:57.178853
smart-glass,スマートグラス,96,テクノロジー,2676106131462732362,6,20260416,2026-04-16T22:32:57.178853
power-supply-regulated,電力：規制事業者,97,公益,2886203058750774265,8,20260416,2026-04-16T22:32:57.178853
apple-intelligence,Appleインテリジェンス,98,テクノロジー,-1780264462595469920,6,20260416,2026-04-16T22:32:57.178853
meat-products,食肉,99,消費者必需品,-1847346876096817162,2,20260416,2026-04-16T22:32:57.178853
industrial-gases,産業ガス,100,素材,8452573562850577239,2,20260416,2026-04-16T22:32:57.178853
railways,鉄道貨物,101,資本財,2297431110843698688,5,20260416,2026-04-16T22:32:57.178853
re-service,不動産サービス,102,不動産,-1791152169126302110,2,20260416,2026-04-16T22:32:57.178853
nextgen-bank,次世代銀行,103,金融,1759232841340836440,2,20260416,2026-04-16T22:32:57.178853
copper-mining,銅鉱山,104,素材,26954982563632745,8,20260416,2026-04-16T22:32:57.178853
beverages-diversified,総合飲料,105,消費者必需品,2755357759849627412,5,20260416,2026-04-16T22:32:57.178853
power-infra,電源インフラ,106,資本財,-6978480575958523812,6,20260416,2026-04-16T22:32:57.178853
gas-utilities,ガス小売,107,公益,-1428508161748849129,11,20260416,2026-04-16T22:32:57.178853
hospital-operators,病院運営,108,ヘルスケア,6850316309904720380,7,20260416,2026-04-16T22:32:57.178853
neo-cloud,ネオクラウド,109,テクノロジー,-3943736681469708336,10,20260416,2026-04-16T22:32:57.178853
steel,鉄,110,素材,7064837028884688525,5,20260416,2026-04-16T22:32:57.178853
toys,おもちゃ,111,消費者一般,1054797917952614617,2,20260416,2026-04-16T22:32:57.178853
video-streaming,動画配信サービス,112,消費者一般,-2369937139643806974,3,20260416,2026-04-16T22:32:57.178853
