theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
dc-rack-connect,ラック内接続,1,テクノロジー,-3707061672789703630,3,20260413,2026-04-13T23:15:46.162082
dc-optical-ems,光接続：トランシーバ,2,テクノロジー,2661750723763907107,5,20260413,2026-04-13T23:15:46.162082
earth-observation,宇宙：地球観測,3,資本財,-8033596668073975568,4,20260413,2026-04-13T23:15:46.162082
dc-optical-device,光接続：インフラ,4,テクノロジー,5070183867284087283,9,20260413,2026-04-13T23:15:46.162082
nextgen-batteries,次世代セル,5,エネルギー,6326342562456489441,5,20260413,2026-04-13T23:15:46.162082
solar-energy-storage,太陽光発電,6,テクノロジー,-7957463763712794349,5,20260413,2026-04-13T23:15:46.162082
chinese-ev,中国EV,7,消費者一般,7372628402759367184,3,20260413,2026-04-13T23:15:46.162082
ai-semiconductor-core,AI半導体：コア銘柄,8,テクノロジー,360291277794229615,5,20260413,2026-04-13T23:15:46.162082
custom-ai-chips,カスタムAI半導体,9,テクノロジー,-4777682908022364272,6,20260413,2026-04-13T23:15:46.162082
dc-optical-semi,光接続：スイッチ,10,テクノロジー,-3534732431556737758,6,20260413,2026-04-13T23:15:46.162082
quantum-computing,量子コンピュータ,11,テクノロジー,4120719748343169723,4,20260413,2026-04-13T23:15:46.162082
semi-component,半導体製造装置：部品,12,テクノロジー,-7895521211487496306,4,20260413,2026-04-13T23:15:46.162082
ai-server-odm,AIサーバ：受託製造,13,テクノロジー,-7615822070600078079,3,20260413,2026-04-13T23:15:46.162082
cybersecurity-data,サイバー：データ保護,14,テクノロジー,8541497386180463494,2,20260413,2026-04-13T23:15:46.162082
hvac,空調,15,資本財,-5513605300877546810,3,20260413,2026-04-13T23:15:46.162082
space-infrastructure,宇宙：インフラ,16,資本財,-6071462373984180586,4,20260413,2026-04-13T23:15:46.162082
memory-shortage,DRAM品薄,17,テクノロジー,-4494192431829213455,7,20260413,2026-04-13T23:15:46.162082
semi-equip-back,半導体製造装置：後工程,18,テクノロジー,-1544517892716658279,5,20260413,2026-04-13T23:15:46.162082
oil-supermajors-non-us,スーパーメジャー：米国外,19,エネルギー,-3343308142521792603,4,20260413,2026-04-13T23:15:46.162082
server-brand,AIサーバ：自社ブランド,20,テクノロジー,-5651588960617005631,3,20260413,2026-04-13T23:15:46.162082
commodity-chemicals,化学：汎用,21,素材,4557484835664028885,2,20260413,2026-04-13T23:15:46.162082
satellite-communications,宇宙：衛星通信,22,資本財,-6386832510341864669,5,20260413,2026-04-13T23:15:46.162082
industrial-batteries,産業用電池,23,エネルギー,6377588441203553175,3,20260413,2026-04-13T23:15:46.162082
used-car-sales,中古車販売,24,消費者一般,7851399815906747772,4,20260413,2026-04-13T23:15:46.162082
openai-related,OpenAI関連,25,テクノロジー,-1906577786277355563,5,20260413,2026-04-13T23:15:46.162082
drones,軍用ドローン,26,資本財,262418157300879006,7,20260413,2026-04-13T23:15:46.162082
coking-coal,石炭：原料炭中心,27,素材,-5071404114394361545,6,20260413,2026-04-13T23:15:46.162082
heat-infra,熱管理インフラ,28,テクノロジー,970640938762548955,6,20260413,2026-04-13T23:15:46.162082
copper-mining,銅鉱山,29,素材,-3698194683413816262,8,20260413,2026-04-13T23:15:46.162082
neo-cloud,ネオクラウド,30,テクノロジー,7169920790820055961,10,20260413,2026-04-13T23:15:46.162082
pub-construction-transpo,インフラ工事：交通,31,資本財,-754667545988134302,2,20260413,2026-04-13T23:15:46.162082
foundry,半導体受託製造,32,テクノロジー,1988636236443806786,8,20260413,2026-04-13T23:15:46.162082
nuclear-nextgen,原発機器（次世代）,33,エネルギー,8873344401147913951,4,20260413,2026-04-13T23:15:46.162082
onsite-power,オンサイト電源,34,テクノロジー,-8390754855293458591,5,20260413,2026-04-13T23:15:46.162082
silver-mining,銀鉱山,35,素材,3076762525163121609,5,20260413,2026-04-13T23:15:46.162082
refrigerant,次世代冷媒,36,テクノロジー,1656095603996137722,2,20260413,2026-04-13T23:15:46.162082
housing-equipment-trading,住設専門商社,37,消費者一般,-4116653545142443446,5,20260413,2026-04-13T23:15:46.162082
gold-mining,金鉱山,38,素材,-6772967229642603867,14,20260413,2026-04-13T23:15:46.162082
semi-equip-front,半導体製造装置：前工程,39,テクノロジー,8148980500526858539,5,20260413,2026-04-13T23:15:46.162082
cpu,CPU,40,テクノロジー,4647205797224773734,3,20260413,2026-04-13T23:15:46.162082
power-infra,電源インフラ,41,資本財,1915425850712972197,6,20260413,2026-04-13T23:15:46.162082
refinary,石油精製,42,エネルギー,-642357316502904410,7,20260413,2026-04-13T23:15:46.162082
humanoid-brain,人型ロボ：脳,43,テクノロジー,-4791265507871663188,3,20260413,2026-04-13T23:15:46.162082
eVTOL,eVTOL,44,テクノロジー,8634180905608481927,5,20260413,2026-04-13T23:15:46.162082
power-supply-IPP,電力：IPP,45,公益,-7577246302749887732,7,20260413,2026-04-13T23:15:46.162082
infra-contractors,電気工事・施工,46,資本財,-3080895088814797480,5,20260413,2026-04-13T23:15:46.162082
food-agriculture,化学：農業,47,素材,-4564562205378432830,3,20260413,2026-04-13T23:15:46.162082
apple-intelligence,Appleインテリジェンス,48,テクノロジー,6933037858266307442,6,20260413,2026-04-13T23:15:46.162082
semi-consumables,半導体：材料・消耗品,49,テクノロジー,4479402964755775388,6,20260413,2026-04-13T23:15:46.162082
analog-semi-power,アナログ半導体：パワー,50,テクノロジー,-6027006784201772537,2,20260413,2026-04-13T23:15:46.162082
dc-transformer,DC変圧器・スイッチギア,51,テクノロジー,4224319429922537493,4,20260413,2026-04-13T23:15:46.162082
diversified-resources,多角化資源,52,素材,5448280358402940935,3,20260413,2026-04-13T23:15:46.162082
next-gen-power-supply,次世代電源,53,テクノロジー,-4308915588216383455,6,20260413,2026-04-13T23:15:46.162082
humanoid-eyes,人型ロボ：目,54,テクノロジー,-661120822610168809,3,20260413,2026-04-13T23:15:46.162082
pub-construction-electric,インフラ工事：電力/通信,55,資本財,3801192049151030070,4,20260413,2026-04-13T23:15:46.162082
storage-solutions,ストレージ ソリュション,56,テクノロジー,352687532502066982,2,20260413,2026-04-13T23:15:46.162082
autonomous,自動運転,57,テクノロジー,-3492882935638842469,5,20260413,2026-04-13T23:15:46.162082
robotics-logistics,ロボ：物流/サービス,58,テクノロジー,-5558909710589132360,6,20260413,2026-04-13T23:15:46.162082
china-ai,中国AI,59,テクノロジー,-6807963267464679075,5,20260413,2026-04-13T23:15:46.162082
alcoholic-beverages,アルコール飲料,60,消費者必需品,-5689169347896750444,5,20260413,2026-04-13T23:15:46.162082
nuclear-traditional,原発機器（現行）,61,エネルギー,-515621188534382246,4,20260413,2026-04-13T23:15:46.162082
data-storage,データストレージ,62,テクノロジー,-5498924667989763768,4,20260413,2026-04-13T23:15:46.162082
aggregates-concrete,骨材・基礎資材,63,素材,-6884259108888648621,7,20260413,2026-04-13T23:15:46.162082
lithium,リチウム,64,素材,-699178461678660033,10,20260413,2026-04-13T23:15:46.162082
investment-banking,投資銀行,65,金融,-5076451991058387477,6,20260413,2026-04-13T23:15:46.162082
defence-comm,防衛：電子・情報通信,66,資本財,-3997839511075066995,8,20260413,2026-04-13T23:15:46.162082
analog-semi-sensor,アナログ半導体：センサ,67,テクノロジー,3699722754067194939,4,20260413,2026-04-13T23:15:46.162082
drilling-equipment,掘削機器,68,エネルギー,-7593619197913290015,3,20260413,2026-04-13T23:15:46.162082
rare-earth,レアアース,69,素材,-3999840893420983002,12,20260413,2026-04-13T23:15:46.162082
housing-infrastructure,建築塗料,70,素材,-2682312257854373082,2,20260413,2026-04-13T23:15:46.162082
alminium,アルミ,71,素材,-3898222503189358568,2,20260413,2026-04-13T23:15:46.162082
water-utilities,水道,72,公益,30930676339028483,3,20260413,2026-04-13T23:15:46.162082
fast-casual,高品質ファーストフード,73,消費者一般,-8957084165590395752,2,20260413,2026-04-13T23:15:46.162082
hyperscalers,ハイパースケーラー,74,テクノロジー,1516243562595860649,5,20260413,2026-04-13T23:15:46.162082
gas-fracking,天然ガス掘削：米,75,エネルギー,-7289512292608566301,5,20260413,2026-04-13T23:15:46.162082
crypto,暗号資産・ブロックチェン,76,金融,478072819838590573,8,20260413,2026-04-13T23:15:46.162082
trucking-intermodal,トラック輸送,77,資本財,-9044385175865895729,3,20260413,2026-04-13T23:15:46.162082
industrial-distribution,産業資材流通,78,資本財,931944265818201542,4,20260413,2026-04-13T23:15:46.162082
reit,REIT,79,不動産,6381606387320980247,10,20260413,2026-04-13T23:15:46.162082
humanoid-bones,人型ロボ：筋骨・神経,80,テクノロジー,-5389670950756058928,6,20260413,2026-04-13T23:15:46.162082
analog-semi-generic,アナログ半導体：汎用,81,テクノロジー,418492829338441304,3,20260413,2026-04-13T23:15:46.162082
industrial-gases,産業ガス,82,素材,-5426117407543614743,2,20260413,2026-04-13T23:15:46.162082
