theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
lithium,リチウム,1,素材,-2249954501380869170,10,20260427,2026-04-27T22:43:08.720195
offshore-drilling,海洋掘削サービス,2,エネルギー,-1368560319438500601,3,20260427,2026-04-27T22:43:08.720195
rare-earth,レアアース,3,素材,5953092830863442168,12,20260427,2026-04-27T22:43:08.720195
cdn,CDN,4,テクノロジー,7060577968906539564,3,20260427,2026-04-27T22:43:08.720195
data-storage,データストレージ,5,テクノロジー,-3485106637296497457,4,20260427,2026-04-27T22:43:08.720195
eVTOL,eVTOL,6,テクノロジー,1826100073365304059,5,20260427,2026-04-27T22:43:08.720195
uranium,ウラン,7,エネルギー,306140068347471987,11,20260427,2026-04-27T22:43:08.720195
ai-pharma,AI創薬,8,ヘルスケア,5865387673866683927,7,20260427,2026-04-27T22:43:08.720195
ai-infrastructure-software,ソフト：AI利用基盤,9,テクノロジー,3232453505867359769,4,20260427,2026-04-27T22:43:08.720195
coking-coal,石炭：原料炭中心,10,素材,3599638254965077127,6,20260427,2026-04-27T22:43:08.720195
nuclear-nextgen,原発機器（次世代）,11,エネルギー,-5145552311544184337,4,20260427,2026-04-27T22:43:08.720195
thermal-coal,石炭：一般炭,12,素材,1018340842703707869,2,20260427,2026-04-27T22:43:08.720195
infra-contractors,電気工事・施工,13,資本財,697877102401052152,5,20260427,2026-04-27T22:43:08.720195
advertising-platforms,ネットメディア,14,通信,3888547970772257096,6,20260427,2026-04-27T22:43:08.720195
health-insurance-services,医療保険＋診療,15,ヘルスケア,-6374843027274822201,6,20260427,2026-04-27T22:43:08.720195
steel,鉄,16,素材,-8573892476871757784,5,20260427,2026-04-27T22:43:08.720195
cybersecurity-gen,サイバー：統合,17,テクノロジー,-3549744597986856906,3,20260427,2026-04-27T22:43:08.720195
cybersecurity-end,サイバー：端末保護,18,テクノロジー,-1522059434595310603,2,20260427,2026-04-27T22:43:08.720195
industrial-distribution,産業資材流通,19,資本財,-8899021497062100192,4,20260427,2026-04-27T22:43:08.720195
pub-construction-electric,インフラ工事：電力/通信,20,資本財,-4566481535949439954,4,20260427,2026-04-27T22:43:08.720195
quantum-computing,量子コンピュータ,21,テクノロジー,6108390421550385535,4,20260427,2026-04-27T22:43:08.720195
rideshare,ライドシェア,22,消費者一般,-2336979342443649266,2,20260427,2026-04-27T22:43:08.720195
robotics-logistics,ロボ：物流/サービス,23,テクノロジー,-7085042798225877216,6,20260427,2026-04-27T22:43:08.720195
insurance-dx,保険DX,24,金融,4258867566781304073,3,20260427,2026-04-27T22:43:08.720195
humanoid-brain,人型ロボ：脳,25,テクノロジー,1597829106275482138,3,20260427,2026-04-27T22:43:08.720195
regional-bank,地銀,26,金融,9009537483897968585,12,20260427,2026-04-27T22:43:08.720195
alminium,アルミ,27,素材,7854600187595538294,2,20260427,2026-04-27T22:43:08.720195
investment-banking,投資銀行,28,金融,2553233980396100224,6,20260427,2026-04-27T22:43:08.720195
cybersecurity-other,サイバー：ID/監視/診断,29,テクノロジー,-4036211840875662324,4,20260427,2026-04-27T22:43:08.720195
graphite,グラファイト,30,素材,-5841197741679289721,4,20260427,2026-04-27T22:43:08.720195
lifescience-service,生命科学：創薬受託,31,ヘルスケア,8069032770332256408,4,20260427,2026-04-27T22:43:08.720195
corrugated-paper-packaging,製紙・段ボール,32,素材,-1063676420556384783,5,20260427,2026-04-27T22:43:08.720195
