strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,semi-consumables,半導体：材料・消耗品,1,ENTG,AXTI,AXTI,AXTI,0.1201,0.1201,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,gas-fracking,天然ガス掘削：米,2,PUMP,LBRT,PTEN,HP,0.0959,0.0959,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,semi-component,半導体製造装置：部品,3,ICHR,ICHR,ICHR,AEIS,0.1246,0.1246,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,refinary,石油精製,4,PARR,PARR,PARR,PARR,0.0866,0.0866,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,5,PBR,PBR,PBR,BP,0.072,0.072,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,dc-optical-ems,光接続：トランシーバ,6,MRVL,AAOI,AAOI,FN,0.1451,0.1451,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,heat-infra,熱管理インフラ,7,FLEX,VRT,VRT,NVT,0.0811,0.0811,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,earth-observation,宇宙：地球観測,8,BKSY,PL,PL,BKSY,0.1192,0.1192,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,infra-contractors,電気工事・施工,9,FIX,MTZ,MTZ,STRL,0.0944,0.0944,0.1,,20260424,2026-04-24T22:35:02.326777
prism-r,dividend,高配当,10,TXN,VZ,VZ,ABBV,0.0609,0.0609,0.1,,20260424,2026-04-24T22:35:02.326777
prism-g2,dc-optical-device,光接続：インフラ,,AAOI,,,,0.2146,0.2146,,,20260424,2026-04-24T22:35:02.326777
prism-g2,semi-equip-back,半導体製造装置：後工程,,AEHR,,,,0.1575,0.1575,,,20260424,2026-04-24T22:35:02.326777
prism-g2,data-storage,データストレージ,,SNDK,,,,0.2836,0.2836,,,20260424,2026-04-24T22:35:02.326777
prism-g2,custom-ai-chips,カスタムAI半導体,,MRVL,,,,0.1157,0.1157,,,20260424,2026-04-24T22:35:02.326777
prism-g2,dc-transformer,DC変圧器・スイッチギア,,GEV,,,,0.1073,0.1073,,,20260424,2026-04-24T22:35:02.326777
prism-g2,gas-fracking,天然ガス掘削：米,,PTEN,,,,0.1212,0.1212,,,20260424,2026-04-24T22:35:02.326777
prism,カスタムAI半導体,カスタムAI半導体,1,SANM,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,AI半導体：コア銘柄,AI半導体：コア銘柄,2,FLEX,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,アナログ半導体：汎用,アナログ半導体：汎用,3,MRVL,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,次世代電源,次世代電源,4,AMD,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,光接続：スイッチ,光接続：スイッチ,5,AMKR,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,Appleインテリジェンス,Appleインテリジェンス,6,ARM,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,AIサーバ：受託製造,AIサーバ：受託製造,7,GEV,,,,0.0471,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,アナログ半導体：センサ,アナログ半導体：センサ,8,ETN,,,,0.0471,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,DC変圧器・スイッチギア,DC変圧器・スイッチギア,9,MCHP,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,次世代冷媒,次世代冷媒,10,NXPI,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,11,TXN,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,12,ADI,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,13,CLS,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,14,SOLS,,,,0.0471,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,15,CC,,,,0.0471,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,16,ON,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
prism,,,17,VICR,,,,0.0269,,,OPEN,20260424,2026-04-24T22:35:02.326777
