strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,data-storage,データストレージ,1,SNDK,SNDK,SNDK,WDC,0.2253,0.2253,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,2,PBR,PBR,PBR,BP,0.0685,0.0685,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,gas-fracking,天然ガス掘削：米,3,PUMP,PTEN,PTEN,HP,0.0863,0.0863,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,infra-contractors,電気工事・施工,4,MTZ,MTZ,MTZ,STRL,0.0823,0.0823,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,refinary,石油精製,5,PARR,PARR,PARR,PARR,0.0808,0.0808,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,semi-component,半導体製造装置：部品,6,ICHR,ICHR,ICHR,AEIS,0.1138,0.1138,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,heat-infra,熱管理インフラ,7,FLEX,MOD,MOD,NVT,0.0706,0.0706,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,pub-construction-electric,インフラ工事：電力/通信,8,MYRG,MYRG,PWR,MTZ,0.0776,0.0776,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,dc-optical-device,光接続：インフラ,9,AAOI,AAOI,VIAV,LITE,0.1391,0.1391,0.1,,20260416,2026-04-16T22:32:57.187775
prism-r,dividend,高配当,10,TXN,VZ,VZ,ABBV,0.0556,0.0556,0.1,,20260416,2026-04-16T22:32:57.187775
prism-g2,dc-optical-device,光接続：インフラ,,AAOI,,,,0.1877,0.187,,,20260416,2026-04-16T22:32:57.187775
prism-g2,earth-observation,宇宙：地球観測,,SPIR,,,,0.131,0.1305,,,20260416,2026-04-16T22:32:57.187775
prism-g2,semi-equip-back,半導体製造装置：後工程,,AEHR,,,,0.1388,0.1382,,,20260416,2026-04-16T22:32:57.187775
prism-g2,data-storage,データストレージ,,SNDK,,,,0.3,0.3027,,,20260416,2026-04-16T22:32:57.187775
prism-g2,custom-ai-chips,カスタムAI半導体,,MRVL,,,,0.1,0.0996,,,20260416,2026-04-16T22:32:57.187775
prism-g2,satellite-communications,宇宙：衛星通信,,IRDM,,,,0.1425,0.1419,,,20260416,2026-04-16T22:32:57.187775
prism,アナログ半導体：汎用,アナログ半導体：汎用,1,MRVL,,,,0.07,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,光接続：スイッチ,光接続：スイッチ,2,AMD,,,,0.07,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,AI半導体：コア銘柄,AI半導体：コア銘柄,3,GEV,,,,0.08,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,DC変圧器・スイッチギア,DC変圧器・スイッチギア,4,HUBB,,,,0.08,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,多角化資源,多角化資源,5,TXN,,,,0.07,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,,,6,ADI,,,,0.07,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,,,7,CLS,,,,0.07,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,,,8,VALE,,,,0.08,,,OPEN,20260416,2026-04-16T22:32:57.187775
prism,,,9,BHP,,,,0.08,,,OPEN,20260416,2026-04-16T22:32:57.187775
