strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,1,BP,PBR,PBR,BP,0.069,0.069,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,gas-fracking,天然ガス掘削：米,2,PUMP,PTEN,PTEN,HP,0.0868,0.0868,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,dc-optical-device,光接続：インフラ,3,AAOI,AAOI,VIAV,LITE,0.1415,0.1415,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,data-storage,データストレージ,4,STX,SNDK,SNDK,WDC,0.2211,0.2211,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,infra-contractors,電気工事・施工,5,MTZ,MTZ,MTZ,STRL,0.0861,0.0861,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,refinary,石油精製,6,PARR,PARR,PARR,PARR,0.0813,0.0813,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,heat-infra,熱管理インフラ,7,FLEX,MOD,MOD,FLEX,0.073,0.073,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,semi-consumables,半導体：材料・消耗品,8,PLAB,AXTI,AXTI,AXTI,0.1034,0.1034,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,pub-construction-electric,インフラ工事：電力/通信,9,MYRG,MYRG,MYRG,DY,0.0804,0.0804,0.1,,20260415,2026-04-15T22:37:52.417869
prism-r,dividend,高配当,10,TXN,VZ,VZ,ABBV,0.0574,0.0574,0.1,,20260415,2026-04-15T22:37:52.417869
prism-g2,dc-optical-device,光接続：インフラ,,AAOI,,,,0.1843,0.1843,,,20260415,2026-04-15T22:37:52.417869
prism-g2,semi-component,半導体製造装置：部品,,ICHR,,,,0.1512,0.1512,,,20260415,2026-04-15T22:37:52.417869
prism-g2,earth-observation,宇宙：地球観測,,SPIR,,,,0.1223,0.1223,,,20260415,2026-04-15T22:37:52.417869
prism-g2,data-storage,データストレージ,,SNDK,,,,0.288,0.288,,,20260415,2026-04-15T22:37:52.417869
prism-g2,satellite-communications,宇宙：衛星通信,,IRDM,,,,0.1385,0.1385,,,20260415,2026-04-15T22:37:52.417869
prism-g2,foundry,半導体受託製造,,TSEM,,,,0.1156,0.1156,,,20260415,2026-04-15T22:37:52.417869
prism,トラック輸送,トラック輸送,1,MTZ,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,インフラ工事：電力/通信,インフラ工事：電力/通信,2,DY,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,多角化資源,多角化資源,3,XPO,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,掘削サービス,掘削サービス,4,ODFL,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,,,5,VALE,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,,,6,BHP,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,,,7,SLB,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
prism,,,8,HAL,,,,0.08,,,OPEN,20260415,2026-04-15T22:37:52.417869
